id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
1501402;Belém;1961;27.13;26.23;26.58;26.77;27.01;27.34;27.47;27.42;27.32;27.16;27.2;27.19;26.85;26.78;27.04;27.27;27.06
1501402;Belém;1962;26.98;26.74;26.83;26.72;27.51;27.42;27.39;27.62;27.55;27.48;27.36;27.56;27.09;27.02;27.21;27.44;27.26
1501402;Belém;1963;26.9;26.68;26.67;27.07;27.82;27.59;27.58;27.63;27.61;27.5;27.71;26.88;26.82;27.18;27.49;27.66;27.3
1501402;Belém;1964;26.34;26.16;26.05;26.39;27.19;27.55;27.8;27.98;27.96;27.38;27.42;27.21;26.57;26.54;27.04;27.51;27.11
1501402;Belém;1965;26.74;26.52;26.51;26.72;27.5;27.52;27.59;27.74;27.7;27.45;27.49;27.21;26.82;26.91;27.25;27.53;27.22
1501402;Belém;1966;26.66;26.45;26.41;26.72;27.5;27.55;27.65;27.78;27.78;27.44;27.54;27.1;26.73;26.88;27.26;27.57;27.21
1501402;Belém;1967;27.14;26.58;26.52;26.83;26.92;27.02;26.78;26.59;27.81;26.6;27.01;26.65;26.79;26.75;26.92;26.9;26.87
1501402;Belém;1968;26.56;26.52;26.31;26.76;27.31;26.95;27.24;27.33;27.43;27.51;27.44;27.28;26.78;26.79;27;27.16;27.05
1501402;Belém;1969;27.19;27.66;27.89;28.13;28.45;28.27;27.56;27.82;27.52;27.61;27.76;28.09;27.64;28.15;28.28;28.09;27.82
1501402;Belém;1970;27.23;27.52;27.16;27.64;27.69;27.29;27.3;27.35;26.87;27.29;27.43;27.42;27.39;27.49;27.54;27.42;27.34
1501402;Belém;1971;26.96;26.55;26.59;26.76;26.96;27;26.91;27.1;26.95;26.94;27.25;27.07;26.86;26.77;26.9;26.95;26.92
1501402;Belém;1972;26.45;26.25;26.93;27.11;27.38;27.54;27.01;26.92;27.02;27.05;27.58;27.68;26.79;27.14;27.34;27.31;27.07
