id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
2502151;Boa Vista;1972;28.48;29.13;28.81;29.28;28.14;27.32;27.51;28.38;28.65;29.47;29.11;27.79;28.46;28.74;28.24;27.65;28.5
2502151;Boa Vista;1973;29.27;29.89;28.95;30.13;27.63;27.16;26.43;27.49;27.85;28.41;29.75;28.14;29.1;28.9;28.3;27.07;28.42
2502151;Boa Vista;1974;27.97;28.73;28.61;28.07;27.9;26.69;26.27;27.73;27.57;28.56;28.13;28.3;28.33;28.19;27.55;26.95;27.87
2502151;Boa Vista;1975;28.22;28.79;28.87;29.66;28.89;26.74;26;27.21;28.31;29.21;29.47;26.93;27.98;29.14;28.43;27.21;28.19
2502151;Boa Vista;1976;28.88;28.94;29.37;29.07;27.69;26.59;27.03;27.54;28.72;29.12;29.3;29.32;29.04;28.71;27.78;27.1;28.46
2502151;Boa Vista;1977;29.08;28.76;28.74;29.03;27.14;26.74;27.15;28.19;28.94;29.09;29.74;28.57;28.8;28.3;27.63;27.01;28.43
2502151;Boa Vista;1978;28.53;29.03;29.97;28.51;28.02;26.51;27.22;26.81;28.84;29.29;29.33;28.51;28.69;28.83;27.68;27.25;28.38
2502151;Boa Vista;1979;29.04;29.03;29.4;29.67;27.92;26.52;26.73;27.64;28.38;28.98;28.83;28.58;28.88;29;28.04;27.06;28.39
2502151;Boa Vista;1980;28.55;28.88;29.38;29.68;27.93;26.51;26.74;27.65;28.42;28.99;28.81;28.62;28.68;29;28.04;27.06;28.35
2502151;Boa Vista;1981;28.54;28.9;29.35;29.7;27.95;26.55;26.71;27.68;28.32;29.02;28.84;28.59;28.67;29;28.07;27.07;28.34
2502151;Boa Vista;1982;28.57;28.92;29.48;29.63;27.89;26.49;26.75;27.58;28.41;28.93;28.83;28.54;28.67;29;28;27.04;28.33
2502151;Boa Vista;1983;28.55;28.83;29.31;29.71;27.95;26.48;26.77;27.7;28.54;29.04;28.77;28.58;28.65;28.99;28.05;27.07;28.35
2502151;Boa Vista;1984;28.49;28.93;29.39;29.76;28.02;26.7;26.61;27.76;28.02;28.54;28.91;28.66;28.69;29.05;28.16;27.11;28.31
2502151;Boa Vista;1985;28.66;29;29.75;29.43;27.7;26.29;26.88;27.3;28.68;29.23;28.81;28.4;28.68;28.96;27.8;26.95;28.34
2502151;Boa Vista;1986;28.51;28.57;28.79;29.95;28.15;26.46;26.82;28.05;28.93;29.35;28.61;28.7;28.59;28.96;28.18;27.14;28.4
2502151;Boa Vista;1987;28.32;29.24;29.64;29.9;28.21;27.9;28.52;29.23;29.3;30.1;29.33;29.22;28.92;29.25;28.67;28.21;29.07
2502151;Boa Vista;1988;28.99;29.21;30.04;30.22;28.54;27.57;27.35;28.25;29.45;29.85;29.78;29.21;29.13;29.6;28.77;27.82;29.04
2502151;Boa Vista;1989;29.09;29.24;29.47;29.74;28.04;27.59;27.38;28.28;29.47;29.88;29.79;29.21;29.18;29.08;28.45;27.67;28.93
2502151;Boa Vista;1990;29.09;29.23;29.5;29.75;28.03;27.53;27.33;28.29;29.47;29.91;29.79;29.23;29.18;29.09;28.44;27.63;28.93
2502151;Boa Vista;1991;29.09;29.18;29.44;29.68;27.99;27.59;27.34;28.19;29.43;29.74;29.75;29.18;29.15;29.04;28.42;27.64;28.88
2502151;Boa Vista;1992;29.08;29.31;29.48;29.77;28.08;27.64;27.46;28.38;29.53;29.98;29.84;29.22;29.2;29.11;28.5;27.73;28.98
2502151;Boa Vista;1993;29.09;29.19;29.58;29.79;28.01;27.36;27.18;28.3;29.45;30.02;29.76;29.29;29.19;29.13;28.39;27.52;28.92
2502151;Boa Vista;1994;29.1;29.05;29.26;29.49;27.89;27.76;27.39;27.89;29.31;29.23;29.66;29.04;29.06;28.88;28.38;27.68;28.75
2502151;Boa Vista;1995;29.05;29.71;29.61;30.05;28.36;27.82;27.83;28.95;29.83;30.71;30.11;29.34;29.36;29.34;28.74;28;29.28
2502151;Boa Vista;1996;29.13;28.81;29.89;29.85;27.8;26.52;26.32;28.08;29.21;30.12;29.53;29.5;29.14;29.18;28.05;26.88;28.73
2502151;Boa Vista;1997;29.13;28.09;29.4;29.41;28.1;27.93;27.29;28.46;30.47;31.46;30.48;28.54;28.58;28.97;28.48;27.77;29.06
2502151;Boa Vista;1998;29.56;31.27;31.29;29.54;28.57;27.89;27.98;29.13;29.82;30.57;30.34;30;30.27;29.8;28.66;28.14;29.66
2502151;Boa Vista;1999;28.72;28.69;29.18;28.27;28.09;27.48;27.29;27.93;30.07;30.71;31.51;29.87;29.09;28.51;27.94;27.62;28.98
2502151;Boa Vista;2000;28.9;28.77;29.27;28.22;27.96;27.75;28.26;28.99;29.88;29.87;29.76;29.88;29.18;28.48;27.97;27.99;28.96
2502151;Boa Vista;2001;29.83;29.93;30.25;29.51;28.33;27.43;28.13;28.36;29.51;30.85;30.54;30.3;30.02;29.36;28.42;27.96;29.41
2502151;Boa Vista;2002;30.08;30.1;30.52;29.11;28.51;27.26;28.59;28.8;30.6;30.97;30.72;29.57;29.91;29.38;28.29;28.12;29.56
2502151;Boa Vista;2003;29.72;30.05;30.46;29.89;28.06;28.58;28.08;28.96;29.11;29.73;29.83;29.79;29.85;29.47;28.84;28.24;29.35
