id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
4304606;Canoas;1979;24.2;25.27;24.31;19.42;15.58;13.24;15.38;16.95;16.88;20.21;21.03;24.43;24.63;19.77;16.08;14.73;19.74
4304606;Canoas;1980;24.97;25.08;24.31;21.34;15.41;15.03;15.34;15.49;16.25;18.94;22.38;24.44;24.83;20.35;17.26;15.26;19.91
4304606;Canoas;1981;24.94;25.09;24.3;21.34;15.42;15.13;15.43;15.45;16.23;18.94;22.36;24.42;24.81;20.35;17.3;15.33;19.92
4304606;Canoas;1982;24.96;25.07;24.32;21.34;15.37;15;15.38;15.47;16.25;18.95;22.4;24.43;24.82;20.34;17.24;15.25;19.91
4304606;Canoas;1983;24.99;25.1;24.31;21.33;15.46;14.96;15.19;15.55;16.25;18.93;22.39;24.48;24.85;20.37;17.25;15.2;19.91
4304606;Canoas;1984;24.88;25.1;24.27;21.35;15.43;15.43;15.73;15.34;16.2;18.96;22.28;24.35;24.77;20.35;17.4;15.53;19.94
4304606;Canoas;1985;25.02;25.01;24.39;21.35;15.23;14.6;15.21;15.52;16.29;18.95;22.52;24.45;24.82;20.32;17.06;15.01;19.88
4304606;Canoas;1986;25.08;25.17;24.28;21.3;15.71;14.86;14.65;15.78;16.28;18.88;22.38;24.65;24.96;20.43;17.29;15.07;19.92
4304606;Canoas;1987;24.54;25.12;24.14;21.39;15.34;14.41;17.34;14.74;16.04;19.04;21.94;23.95;24.53;20.29;17.05;15.69;19.83
4304606;Canoas;1988;25.45;24.75;24.75;21.36;14.65;14.53;13.65;16.05;16.55;18.95;23.25;24.76;24.98;20.25;16.84;14.27;19.89
4304606;Canoas;1989;25.26;25.66;23.96;21.16;17.16;15.66;12.96;16.56;16.26;18.66;21.96;25.26;25.39;20.76;17.99;15.26;20.04
4304606;Canoas;1990;25.46;24.96;23.86;21.66;16.16;13.06;13.36;16.36;15.86;21.46;23.66;23.17;24.53;20.56;16.96;14.19;19.91
4304606;Canoas;1991;24.37;24.67;23.07;21.27;18.97;14.87;15.35;17.26;20.11;22.54;24.13;26.78;25.27;21.1;18.37;16.39;21.11
4304606;Canoas;1992;26.81;23.86;23.78;20.18;16.08;17.24;12.82;13.98;16.99;19.18;20.28;25.54;25.4;20.01;17.83;15.38;19.72
4304606;Canoas;1993;27.61;23.38;22.58;21.38;16.88;13.28;12.58;14.08;15.48;20.08;20.08;23.09;24.69;20.28;17.18;14.24;19.2
4304606;Canoas;1994;25.66;23.49;22.19;20.92;18.89;13.93;14.88;14.89;17.76;21.26;22.74;27.8;25.65;20.66;17.91;15.9;20.36
4304606;Canoas;1995;25.59;24.73;23.87;20.9;17.12;14.72;17.07;16.44;17.72;20.56;22.72;26.28;25.53;20.63;17.58;16.3;20.64
4304606;Canoas;1996;24;23.9;22.8;20.7;16.7;12;12.15;16.68;17.18;21.31;24.6;25.71;24.53;20.06;16.46;13.61;19.81
4304606;Canoas;1997;27.4;24.11;23.72;21.17;17.8;15.07;15.44;17.9;18.38;19.97;21.84;24.09;25.2;20.89;18.01;16.1;20.57
4304606;Canoas;1998;25.38;25.05;24.68;20.75;16.88;16.06;13.94;16.46;17.62;20.42;21.74;23.24;24.55;20.77;17.9;15.63;20.18
4304606;Canoas;1999;25.04;24.34;25.44;19.34;16.54;14.28;14.63;15.78;17.76;19.65;22.35;24.98;24.78;20.44;16.72;15.15;20.01
4304606;Canoas;2000;25.45;24.45;22.85;21.25;17.05;17.26;11.75;14.45;17.05;19.85;21.45;24.06;24.65;20.38;18.52;15.35;19.74
4304606;Canoas;2001;25.66;26.36;25.76;21.66;17.06;16.66;15.46;19.16;18.06;21.76;22.16;23.3;25.1;21.49;18.46;16.39;21.08
4304606;Canoas;2002;25.5;24.4;23.29;21.84;17.84;17.58;15.11;16.24;17.04;19.79;21.78;23.35;24.41;20.99;19.09;16.84;20.31
4304606;Canoas;2003;26.02;24.9;23.62;21.63;18.14;17.04;15.29;14.79;15.89;20.54;22.04;22.83;24.58;21.13;18.93;16.82;20.22
4304606;Canoas;2004;25.38;24.18;23.58;23.08;16.63;16.83;14.38;15.98;19.18;19.28;20.83;23.77;24.44;21.09;18.84;15.94;20.25
4304606;Canoas;2005;26.27;25.42;22.67;20.82;18.77;18.87;15.67;17.97;16.07;19.57;22.47;23.46;25.05;20.75;19.48;17.77;20.66
4304606;Canoas;2006;26.41;25.11;24.61;21.01;16.26;16.66;17.91;15.81;16.81;21.61;21.71;25.95;25.82;20.62;17.97;16.94;20.82
4304606;Canoas;2007;25.85;25.5;25.95;22.9;15.9;14.9;13;15;20.05;21.4;20.7;24.79;25.38;21.58;17.9;14.6;20.49
4304606;Canoas;2008;25.14;24.79;24.59;20.49;17.44;13.84;18.39;16.14;16.69;19.89;22.64;23.67;24.53;20.84;17.25;16.55;20.3
4304606;Canoas;2009;23.52;25.37;24.47;21.92;18.72;14.27;12.72;17.47;17.82;19.57;23.92;24.56;24.48;21.7;18.3;15.23;20.36
4304606;Canoas;2010;25.71;27.31;24.41;20.91;17.91;15.29;15.66;15.51;18.16;19.01;21.96;24.45;25.82;21.07;18.03;16.28;20.52
4304606;Canoas;2011;27.3;26.05;24.15;21.7;17.75;14.7;14.4;15.75;17.85;20.85;22.95;24.05;25.8;21.2;18.05;15.61;20.62
4304606;Canoas;2012;25.75;28;24.55;21.15;20;15.9;14.45;20.45;19.1;22.25;24.2;26.45;26.73;21.9;19.01;16.78;21.85
