id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
5103403;Cuiabá;1957;26.63;26.89;26.73;26.13;23.93;23.83;24.36;24.43;27.73;27.73;26.9;27.43;26.98;25.59;24.63;24.04;26.06
5103403;Cuiabá;1958;27.03;27.23;27.43;25.63;24.33;24.73;24.53;23.53;27.03;27.03;27.34;26.83;27.03;25.79;24.89;24.53;26.05
5103403;Cuiabá;1959;26.53;27.43;25.73;26.93;24.73;23.23;24.33;24.63;27.23;27.73;26.53;28.33;27.43;25.79;24.96;24.09;26.11
5103403;Cuiabá;1960;26.33;26.03;27.03;25.83;22.73;23.53;24.23;25.13;28.93;28.43;26.83;27.03;26.46;25.19;24.03;23.49;26
5103403;Cuiabá;1961;27.24;27.69;27.96;27.95;26.51;23.73;24.26;28.42;29.53;28.59;28.68;27.82;27.58;27.47;26.06;24.83;27.36
5103403;Cuiabá;1962;27.28;28.28;28.26;27.41;25.45;23.25;21.48;26.23;29.04;27.13;29.05;27.34;27.63;27.04;25.37;23.39;26.68
5103403;Cuiabá;1963;27.55;27.41;27.73;27.85;25.71;24.06;24.64;27.54;28.78;30.45;28.91;29.29;28.08;27.09;25.87;24.8;27.49
5103403;Cuiabá;1964;28.66;28.33;28.05;28.76;25.68;24.45;23.69;28.38;28.33;27.29;27.89;27.21;28.06;27.49;26.29;24.6;27.22
5103403;Cuiabá;1965;27.65;27.75;26.41;27.08;26.62;26.02;24.79;27.19;27.87;28.92;28.86;27.88;27.76;26.7;26.57;25.81;27.25
5103403;Cuiabá;1966;28;27.78;28.12;26.68;25.03;24.3;24.3;26.38;28.23;28.77;28.87;27.98;27.92;26.61;25.33;24.54;27.03
5103403;Cuiabá;1967;28.16;27.85;28.09;27.33;25.92;24.03;24.81;27.14;29.56;29.44;28.41;28.26;28.09;27.11;25.76;24.92;27.41
5103403;Cuiabá;1968;27.82;27.28;27.74;25.36;22.83;24.05;24.19;26.65;25.83;28.55;29.31;27.41;27.5;25.31;24.08;23.69;26.41
5103403;Cuiabá;1969;28.04;28.23;28.55;27.36;26.34;24.83;23.9;25.35;29.3;28.32;28.91;28.28;28.18;27.41;26.17;25.02;27.28
5103403;Cuiabá;1970;28.62;28.04;27.99;27.94;25.38;24.88;23.52;25.46;28.4;28.85;29.02;28.74;28.46;27.1;26.06;24.59;27.23
5103403;Cuiabá;1971;28.16;27.56;28.03;26.91;24.6;22.87;24.17;25.25;28.68;27.41;28.06;28.12;27.94;26.51;24.79;23.88;26.65
5103403;Cuiabá;1972;27.8;27.56;28.27;25.74;27.17;25.62;24.33;26.39;28.71;29.08;28.92;28.87;28.07;27.06;26.17;25.7;27.37
5103403;Cuiabá;1973;29.5;28.96;29.18;28.82;25.18;25.98;23.01;25.29;28.29;29.28;28.11;28.18;28.88;27.72;26.66;24.72;27.48
5103403;Cuiabá;1974;27.77;28.02;27.25;26.77;25.21;25.95;24.06;27.26;27.46;28.65;28.54;27.84;27.87;26.41;25.97;25.07;27.06
5103403;Cuiabá;1975;28.11;28.03;28.24;27.58;25.1;24.88;23.56;26.7;29.18;28.42;27.64;27.86;28;26.97;25.85;24.51;27.1
