id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
4106902;Curitiba;1961;21.17;21.21;19.88;18.51;15.42;14.24;14.8;16.54;17.93;18.9;19.93;20.18;20.85;17.93;16.05;14.82;18.22
4106902;Curitiba;1962;19.84;19.66;20.15;16.79;13.86;11.56;11.66;14.22;15.83;14.85;18.44;19.38;19.62;16.93;14.07;12.36;16.35
4106902;Curitiba;1963;21.94;20.78;21.43;18.19;15.08;13.13;14.99;15.57;19.02;17.87;19.74;19.15;20.62;18.23;15.46;14.4;18.07
4106902;Curitiba;1964;20.69;20.93;19.65;18.62;14.82;12.39;11.44;14.33;16.29;16.64;18.69;18.82;20.14;17.69;15.27;12.88;16.95
4106902;Curitiba;1965;19.66;21.34;18.46;17.96;14.47;15.52;13.29;15.9;17.01;17.58;19.19;20.27;20.42;16.96;15.98;14.42;17.55
4106902;Curitiba;1966;21.65;22.19;20.71;17.97;15.85;14.73;14.65;13.42;14.78;16.67;18.54;20.47;21.43;18.17;16.18;15.07;17.63
4106902;Curitiba;1967;20.28;20.73;19.67;18.44;17.1;14.04;14.4;17.09;16.85;19.89;18.86;20.37;20.46;18.4;16.52;15.18;18.14
4106902;Curitiba;1968;20.96;21.46;20.19;18.2;16.47;14.38;14.52;15.25;15.81;18.28;18.7;21.08;21.16;18.29;16.35;15.12;17.94
4106902;Curitiba;1969;22.26;22.09;21.09;17.63;15.37;13.66;13.94;15.23;17.49;15.58;19.66;18.87;21.07;18.03;15.55;14.32;17.73
4106902;Curitiba;1970;20.7;21.88;20.6;18.14;17;14.37;13.02;12.74;15.09;16.96;17.26;21.26;21.28;18.58;16.5;14.79;17.41
4106902;Curitiba;1971;21.97;22.79;21.49;17.11;14.82;12.62;13.06;15.04;16.1;16.33;17.69;20.12;21.62;17.8;14.85;13.5;17.42
4106902;Curitiba;1972;21.23;20.57;21.04;16.23;16.66;16.33;13.15;15.27;15.87;17.37;19.44;20.71;20.83;17.97;16.4;15.38;17.82
4106902;Curitiba;1973;22.64;23.65;20.83;16.67;15.57;14.41;14.1;13.19;14.44;16.4;18.33;21.05;22.44;17.69;15.55;14.69;17.6
4106902;Curitiba;1974;21.54;22.59;21.3;17.78;15.62;12.83;14.1;14.35;16.27;17.41;18.68;19.78;21.3;18.23;15.41;14.18;17.68
4106902;Curitiba;1975;20.94;22.39;21.43;17.9;15;13.94;11.65;16.33;16.65;16.97;18.76;20.9;21.41;18.11;15.61;13.53;17.73
4106902;Curitiba;1976;21.89;21.2;20.34;17.84;15.31;13.38;12.87;15.34;16.46;17.19;18.72;20.34;21.14;17.83;15.51;13.85;17.57
4106902;Curitiba;1977;21.41;21.79;20.88;17.87;15.15;13.66;12.26;15.83;16.55;17.08;18.74;19.86;21.02;17.97;15.56;13.69;17.59
4106902;Curitiba;1978;21.75;21.79;21.15;17.57;14.2;14.18;15.42;13.95;15.66;19.08;19.34;20.48;21.34;17.64;15.31;14.6;17.88
4106902;Curitiba;1979;18.94;21.53;19.31;17.16;14.43;12.35;12.17;15.27;14.84;18.08;18.37;20.17;20.21;16.96;14.64;12.98;16.88
4106902;Curitiba;1980;20.34;21.66;20.23;17.36;14.31;13.26;13.79;14.61;15.25;18.58;18.85;20.77;20.92;17.3;14.98;13.79;17.42
4106902;Curitiba;1981;19.64;21.58;19.66;16.97;16.81;13.32;14.18;16.33;15.04;16.11;20.6;19.89;20.37;17.81;15.7;14.77;17.51
4106902;Curitiba;1982;20.32;21.84;19.89;17.27;15.02;15.76;13.98;16.11;16.55;17.31;19.67;19.95;20.7;17.39;16.01;14.92;17.8
4106902;Curitiba;1983;22.32;21.92;19.57;18.43;16.88;12.82;14.88;15.24;13.51;17.12;20.47;21.34;21.86;18.29;16.04;14.86;17.87
4106902;Curitiba;1984;21.32;21.88;19.73;17.85;15.95;14.29;14.43;15.67;15.5;18.68;18.51;19.82;21;17.84;16.03;14.89;17.8
4106902;Curitiba;1985;20.23;21.9;19.65;18.14;16.41;13.55;14.65;15.45;14.5;18.89;19.49;21.55;21.22;18.06;16.03;14.87;17.86
4106902;Curitiba;1986;22.79;22.13;20.98;19.68;17.26;14.47;13.81;15.58;15.75;17.55;20.23;20.95;21.95;19.3;17.13;15.18;18.43
4106902;Curitiba;1987;22.96;21.34;20.79;19.59;13.97;13.12;16.87;14.16;15.02;17.75;19.77;21.21;21.83;18.11;15.56;14.65;18.04
4106902;Curitiba;1988;23.68;20.29;21.79;18.43;14.58;12.67;11.75;15.69;16.97;17.15;19.09;21.3;21.75;18.26;15.22;13;17.78
4106902;Curitiba;1989;21.2;21.53;20.81;19.67;14.97;14.07;12.48;14.55;15.15;16.02;18.7;19.85;20.86;18.48;16.23;13.84;17.41
4106902;Curitiba;1990;21.47;22.12;21.75;20.22;14.69;13.95;11.99;13.74;14.61;19.22;21.17;20.91;21.5;18.88;16.28;13.54;17.98
4106902;Curitiba;1991;20.81;21.19;20.15;18.66;16.4;14.76;13.36;15.25;16.59;18.37;20.5;22.24;21.41;18.4;16.6;14.84;18.19
4106902;Curitiba;1992;22.24;22.36;20.95;18.47;16.47;16.6;12.76;13.04;15.79;17.74;18.65;20.24;21.61;18.63;17.18;15.27;17.94
4106902;Curitiba;1993;22.11;20.4;20.65;19.78;15.71;13.33;13.72;14.08;15.15;18.81;21.48;21.1;21.2;18.71;16.27;14.25;18.02
4106902;Curitiba;1994;20.5;23.12;20.04;18.65;17.57;13.94;14.76;15;17.6;18.9;19.96;22.9;22.17;18.75;16.72;15.42;18.57
4106902;Curitiba;1995;21.62;21.33;20.23;18.42;15.77;15.16;16.32;17.28;15.58;16.56;19.77;20.88;21.27;18.14;16.45;15.75;18.24
4106902;Curitiba;1996;22.42;21.82;20.32;19.2;14.9;13.45;12;14.9;15.16;18.21;19.61;22.2;22.14;18.14;15.85;13.45;17.84
4106902;Curitiba;1997;21.9;21.39;20.18;18.46;15.67;14.13;15.82;16;17.45;17.64;19.98;22.1;21.79;18.1;16.08;15.2;18.39
4106902;Curitiba;1998;23.03;22.17;20.99;18.85;15.56;13.46;14.37;16.08;15.91;17.19;18.71;21.05;22.08;18.46;15.95;14.46;18.11
4106902;Curitiba;1999;21.66;22.12;21.83;18.21;14.96;13.29;14.31;15.27;16.45;16.16;17.52;20.79;21.52;18.33;15.48;14.18;17.71
4106902;Curitiba;2000;21.7;21.51;20.01;18.53;15.26;13.37;14.34;15.67;16.18;16.67;18.11;20.92;21.37;17.93;15.72;14.32;17.69
4106902;Curitiba;2001;21.68;21.81;20.92;18.37;15.11;13.33;14.32;15.47;16.31;18.61;20.54;20.6;21.36;18.13;15.6;14.25;18.09
4106902;Curitiba;2002;21.97;21.38;23.43;21.31;17.85;17.13;14.22;17.52;15.95;20.72;20.61;21.78;21.71;20.86;18.76;16.4;19.48
4106902;Curitiba;2003;22.39;23.99;21.53;19.55;15.27;16.92;15.15;13.85;16.49;17.73;19.15;20.38;22.25;18.78;17.24;15.78;18.53
4106902;Curitiba;2004;20.49;20.86;20.09;19.49;14.28;14.67;13.27;15.51;18.43;16.97;19.02;19.91;20.42;17.95;16.14;14.07;17.74
4106902;Curitiba;2005;21.32;21.75;21.45;20.52;17.8;17.28;14.69;16.99;14.79;18.67;19.42;20.16;21.07;19.92;18.53;16.59;18.73
4106902;Curitiba;2006;23.03;22.55;22.01;18.58;14.79;15.75;16.36;16.28;15.81;18.72;19.49;21.93;22.5;18.46;16.37;15.63;18.77
4106902;Curitiba;2007;22.14;22.27;23.33;20.2;15.22;16.27;13.66;16.13;18.8;19.52;19.26;21.44;21.95;19.58;17.23;15.05;19.02
4106902;Curitiba;2008;20.29;21.46;20.57;18.65;15.51;14.29;16.04;16.17;15.13;18.3;18.75;20.22;20.65;18.24;16.15;15.28;17.94
4106902;Curitiba;2009;20.57;22.21;21.97;19.25;16.64;12.95;13.3;15.69;16.98;17.9;22.98;21.86;21.54;19.28;16.28;14.29;18.52
4106902;Curitiba;2010;22.31;23.36;21.18;18.19;15.59;14.61;15.55;14.67;17.18;16.87;19.42;20.4;22.02;18.32;16.13;15.25;18.27
4106902;Curitiba;2011;22.79;22.4;19.39;19.19;15.45;13.1;14.62;15.04;15.59;18.1;18.38;20.29;21.82;18.01;15.91;14.39;17.86
4106902;Curitiba;2012;21.07;23.13;20.9;19.19;15.63;14.44;14.04;16.89;17.74;19.79;19.79;23.39;22.53;18.57;16.42;14.7;18.83
4106902;Curitiba;2013;20.48;21.89;22.49;18.34;16.64;15.34;13.54;14.88;16.54;18.09;19.64;21.69;21.35;19.15;16.77;15.17;18.29
4106902;Curitiba;2014;23.53;23.23;20.99;18.89;16.54;15.83;14.64;16.44;17.89;19.89;20.09;21.74;22.83;18.8;17.08;15.67;19.14
4106902;Curitiba;2015;23.59;22.28;21.04;19.14;16.59;15.54;15.34;17.99;18.89;19.14;19.89;22.39;22.75;18.92;17.09;15.82;19.31
4106902;Curitiba;2016;21.94;23.24;21.44;21.94;15.54;12.44;15.04;15.44;16.44;17.79;19.29;21.49;22.22;19.64;16.64;14.34;18.5
4106902;Curitiba;2017;22.94;23.54;20.84;18.54;17.34;15.39;14.59;16.14;20.09;18.84;19.04;21.34;22.6;18.9;17.09;15.77;19.05
4106902;Curitiba;2018;21.69;20.74;22.44;20.29;17.89;15.2;16.53;15.49;17.59;18.64;19.74;22.99;21.8;20.2;17.79;16.54;19.1
4106902;Curitiba;2019;24.69;21.84;21.19;20.49;18.09;16.69;14.99;16.1;18;21.25;20.85;21.35;22.62;19.92;18.42;16.59;19.62
4106902;Curitiba;2020;22.5;21.4;21.65;19.15;16.45;17.2;15.45;16;20;20.75;19.7;22.05;21.98;19.08;17.6;16.36;19.35
4106902;Curitiba;2021;22.45;22.45;22.3;18.6;16.45;14.65;13.79;17.03;19.23;16.97;20.49;21.09;21.99;19.11;16.56;14.96;18.79
4106902;Curitiba;2022;22.34;23.03;21.86;18.72;16.01;15.01;17.59;14.96;14.62;18.6;17.9;21.15;22.17;18.86;16.58;16.2;18.48
