id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
4205407;Florianópolis;1961;24.27;24.24;23.54;21.4;18.41;16.88;16.83;16.65;18.23;19.01;21.4;24.17;24.22;21.12;18.9;17.37;20.42
4205407;Florianópolis;1962;23.87;23.51;23.93;21.39;17.98;16.17;15.64;16.17;17.25;18.46;21.64;23.03;23.47;21.1;18.51;16.59;19.92
4205407;Florianópolis;1963;24.67;24.98;23.16;21.41;18.85;17.6;18.03;17.13;19.22;19.57;21.17;22.54;24.06;21.14;19.29;18.16;20.69
4205407;Florianópolis;1964;24.32;24.66;23.82;21.56;19.31;16;14.59;16.93;17.78;19.09;20.28;22.07;23.68;21.56;18.95;16.63;20.03
4205407;Florianópolis;1965;23.68;25.31;22.5;21.27;18.4;18.88;16.34;18.04;17.96;19.89;21.18;23.37;24.12;20.72;19.51;17.87;20.56
4205407;Florianópolis;1966;24.92;24.4;24.06;21.47;19.24;18.06;18.15;15.54;16.47;18.56;20.94;22.61;23.97;21.59;19.59;18.48;20.36
4205407;Florianópolis;1967;23.28;23.67;22.72;21.71;21;16.39;16.7;17.95;18.16;21.37;22.23;22.75;23.23;21.81;19.7;18.03;20.66
4205407;Florianópolis;1968;24.1;25.19;23.97;19.02;16.94;17.25;17.25;17.51;17.39;19.53;22.93;23.21;24.16;19.97;17.73;17.14;20.35
4205407;Florianópolis;1969;24.02;25.18;23.77;21.33;19.41;17.83;16.98;16.56;18.23;18.35;21.53;22.29;23.83;21.5;19.52;18.07;20.45
4205407;Florianópolis;1970;24.19;25.2;24.18;22.05;20.26;18.2;17.12;17.1;18;19.45;20.07;22.98;24.12;22.16;20.17;18.52;20.73
4205407;Florianópolis;1971;25.23;25.75;23.63;20.26;17.34;15;16.54;17.57;19.66;19.79;20.95;23.12;24.7;20.41;17.53;16.29;20.4
4205407;Florianópolis;1972;24.43;23.88;24.24;20.92;20.95;19.71;16.61;17.3;18.05;19.02;21.32;23.38;23.89;22.03;20.52;19.09;20.81
4205407;Florianópolis;1973;25.17;25.97;23.52;23.63;19.2;17.99;16.96;14.9;16.95;19.09;19.92;22.99;24.71;22.11;20.27;18.05;20.52
4205407;Florianópolis;1974;25.09;24.54;24.16;20.96;19.29;15.64;17.3;16.6;17.6;19.19;20.56;22.51;24.04;21.47;18.63;17.41;20.28
4205407;Florianópolis;1975;23.52;24.49;23.75;20.83;18.89;17.15;14.93;17.64;18.56;19.13;20.9;23.02;23.67;21.15;18.95;16.99;20.23
4205407;Florianópolis;1976;25.22;23.91;23.02;20.43;18.63;16.23;15.8;16.18;17.16;18.94;21.3;23.68;24.27;20.69;18.43;16.88;20.04
4205407;Florianópolis;1977;25.12;26.1;24.14;21.02;19.75;17.85;19.73;17.96;19.83;21.15;22.26;23.73;24.98;21.63;19.54;19.11;21.55
4205407;Florianópolis;1978;24.76;24.49;24.37;20.14;17.16;16.39;18.83;17.08;19.21;21.44;22.08;23.51;24.25;20.55;17.89;17.46;20.78
4205407;Florianópolis;1979;23.11;25.48;22.45;22.39;17.35;14.61;15.58;18.05;17.41;20.72;20.81;23.98;24.19;20.73;18.11;15.84;20.16
4205407;Florianópolis;1980;24.05;25.07;26;23.04;20.71;16.84;16.21;17.44;18.16;19.61;21.64;22.66;23.92;23.25;20.19;17.92;20.95
4205407;Florianópolis;1981;24.69;25.9;24.06;21.75;21.62;16.46;15.91;17.36;17.51;19.71;21.86;24.15;24.91;22.47;19.94;18;20.91
4205407;Florianópolis;1982;25.5;25.16;23.73;21.1;18.9;18.02;16.52;17.52;18.82;19.52;20.92;23.51;24.72;21.24;19.34;17.81;20.76
4205407;Florianópolis;1983;25.31;24.91;23.21;21.41;19.71;14.91;15.31;16.41;16.21;19.91;22.81;24.8;25;21.44;18.67;16.64;20.4
4205407;Florianópolis;1984;25.7;26.5;23.7;20.8;19.9;17.1;16.3;14.4;17.3;20.3;20.9;21.79;24.66;21.46;19.26;17.76;20.39
4205407;Florianópolis;1985;23.89;24.79;24.19;22.19;18.19;16.19;16.19;18.29;18.39;20.59;23.18;23.48;24.05;21.52;18.85;16.85;20.79
4205407;Florianópolis;1986;25.42;24.42;24.47;21.77;17.02;14.37;16.42;16.47;20.02;19.17;23.36;23.71;24.51;21.09;17.72;15.94;20.55
4205407;Florianópolis;1987;25.18;25.08;24.18;22.68;17.28;14.58;18.38;15.98;16.88;18.98;23.01;23.77;24.67;21.38;18.18;16.74;20.49
4205407;Florianópolis;1988;25.67;23.77;24.77;20.87;16.77;14.17;14.47;16.97;17.87;19.37;21.37;23.66;24.36;20.8;17.27;15.13;19.97
4205407;Florianópolis;1989;24.16;24.96;23.96;22.36;18.96;17.26;14.86;17.06;18.96;15.94;21.66;23.45;24.19;21.76;19.52;17.02;20.29
4205407;Florianópolis;1990;24.38;25.05;25.28;24.01;18.55;16.48;14.92;17.16;17.51;21.46;23.74;24.08;24.5;22.61;19.68;16.65;21.05
4205407;Florianópolis;1991;23.87;24.48;24.21;22.34;21.61;17.54;16.85;18.02;19.21;20.92;21.98;25.16;24.5;22.72;20.49;18.66;21.34
4205407;Florianópolis;1992;24.89;25.81;24.59;22.33;18.91;18.81;15.24;15.73;18.62;20.37;21.23;23.4;24.7;21.94;20.01;17.65;20.82
4205407;Florianópolis;1993;25.29;24.57;24.06;23.21;19.71;16.46;15.43;15.92;17.12;20.85;23.47;23.89;24.58;22.32;19.79;17.2;20.83
4205407;Florianópolis;1994;23.98;25.55;23.79;21.75;21.04;16.87;16.99;16.68;18.96;20.62;22.16;24.62;24.71;22.19;19.88;18.3;21.08
4205407;Florianópolis;1995;25.17;24.3;24.15;21.78;18.85;16.92;18.32;18.15;17.9;19.07;22.22;24.01;24.49;21.59;19.18;18.03;20.9
4205407;Florianópolis;1996;25.08;25.3;23.57;23.05;19.63;16.01;13.99;16.62;17.93;20.53;22.42;24.54;24.97;22.08;19.56;16.54;20.72
4205407;Florianópolis;1997;24.82;25.58;23.37;21.59;19.51;17.7;18.23;17.88;19.12;20.08;22.35;24.96;25.12;21.49;19.6;18.48;21.26
4205407;Florianópolis;1998;25.68;25.41;24.18;22.38;19.24;16.73;17.32;18.16;18.6;20.24;21.5;24;25.03;21.93;19.45;17.76;21.12
4205407;Florianópolis;1999;25.07;25.18;25.52;20.91;18.53;16.63;16.13;16.98;18.5;19.04;20.41;23.31;24.52;21.65;18.69;17.09;20.51
4205407;Florianópolis;2000;24.37;24.01;23.15;22.2;18.47;18.5;13.34;15.52;17.26;20.56;21.59;24.04;24.14;21.27;19.72;16.77;20.25
4205407;Florianópolis;2001;25.35;26.03;25.23;23.25;18.45;18.55;15.95;19.48;18.73;20.2;22.25;23.1;24.82;22.31;20.08;17.65;21.38
4205407;Florianópolis;2002;24.65;24.12;26.12;22.64;20.84;18.05;16.43;18.14;17.25;22.01;22.66;24.02;24.26;23.2;20.51;18.44;21.41
4205407;Florianópolis;2003;25.34;27.12;25.25;22.86;19.39;18.91;17.3;16.25;17.97;20.67;22.31;23.58;25.34;22.5;20.38;18.53;21.41
4205407;Florianópolis;2004;24.49;24.34;23.61;23.4;18.1;18.04;16.43;17.25;20.09;19.53;22.06;23.36;24.06;21.7;19.84;17.52;20.89
4205407;Florianópolis;2005;25.24;24.87;25;23.27;20.58;20.36;17.32;18.82;17.14;20.62;21.93;23.09;24.4;22.95;21.4;19.42;21.52
4205407;Florianópolis;2006;25.9;25.1;25.26;21.9;17.94;18.36;18.57;17.64;17.95;20.81;21.54;24.93;25.31;21.7;19.4;18.29;21.32
4205407;Florianópolis;2007;25.33;25.06;26.18;23.62;18.02;17.47;15.08;16.15;19.9;21.8;21.58;24.37;24.92;22.6;19.7;16.85;21.21
4205407;Florianópolis;2008;24.42;24.79;24.52;21.8;19.05;16.62;18.55;18.56;17.84;20.27;21.51;23.36;24.19;21.79;19.15;18.07;20.94
4205407;Florianópolis;2009;24.3;25.34;25.13;22.77;20.2;16.41;15.65;17.68;18.83;19.84;24.71;25.17;24.93;22.7;19.79;17.42;21.33
4205407;Florianópolis;2010;25.9;26.75;24.7;22;19.68;17.59;17.5;16.53;18.94;19.68;21.93;23.79;25.48;22.12;19.75;18.25;21.24
4205407;Florianópolis;2011;26.27;25.89;23.72;22.72;19.7;16.83;16.34;17.12;17.4;21.06;21.55;23.46;25.2;22.04;19.75;17.62;21
4205407;Florianópolis;2012;24.64;26.34;24.56;22.6;20.14;17.95;16.57;19.91;19.63;21.86;22.91;26.17;25.71;22.43;20.23;18.22;21.94
4205407;Florianópolis;2013;24.43;25.65;23.37;22.16;19.58;18.53;16.17;16.4;18.21;19.94;21.81;24.06;24.71;21.7;20.09;18.09;20.85
4205407;Florianópolis;2014;26.75;27.05;24.95;22.99;20;18.45;17.9;18.2;20.2;22.35;23.6;25.1;26.3;22.64;20.48;18.78;22.29
4205407;Florianópolis;2015;27.2;26.15;24.75;22.69;20.5;18.95;18.45;20.95;20;20.55;22.4;25.1;26.15;22.64;20.71;19.3;22.3
4205407;Florianópolis;2016;26.15;26.7;24.85;25.1;18.6;14.85;16.5;18;19.1;19.85;22.4;24.6;25.81;22.85;19.51;16.65;21.39
4205407;Florianópolis;2017;26.65;27.25;25;22.35;20.85;19.1;18.35;19.25;21.55;21.8;22.1;23.7;25.86;22.73;20.76;19.43;22.32
4205407;Florianópolis;2018;25.45;24.75;24.85;24.3;21;17.95;17.5;17.05;20.65;21.5;23.4;25.2;25.13;23.38;21.08;18.81;21.96
4205407;Florianópolis;2019;28.3;25.6;25.7;23.8;22.15;20.7;17.4;18.2;18.95;22.45;23.15;24.7;26.2;23.88;22.21;20.08;22.59
4205407;Florianópolis;2020;26.25;25.17;25.27;24.05;21.57;19.32;17.45;17.62;19.8;21.97;23.27;24.95;25.45;23.63;21.65;19.45;22.22
