id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
2304400;Fortaleza;1961;27.14;25.7;26.26;26.11;26.34;25.97;25.52;25.42;25.77;26.2;26.59;26.79;26.54;26.23;26.14;25.94;26.15
2304400;Fortaleza;1962;26.99;27.07;26.2;26.01;26.39;26.1;25.99;25.82;25.94;26.61;26.85;27.36;27.14;26.2;26.16;26.16;26.44
2304400;Fortaleza;1963;27.06;26.38;26.23;26.06;26.36;26.03;25.75;25.62;25.85;26.4;26.72;27.13;26.85;26.21;26.15;26.05;26.3
2304400;Fortaleza;1964;26.92;26.5;26.51;26.12;26.26;26.06;25.5;25.88;25.51;26.42;26.79;26.99;26.8;26.29;26.14;25.94;26.28
2304400;Fortaleza;1965;26.41;27.52;26.99;25.7;25.98;25.31;25.31;25.5;25.93;26.69;26.94;27.44;27.12;26.22;25.66;25.53;26.31
2304400;Fortaleza;1966;27.8;27.47;27.12;26.6;26.48;25.92;25.48;25.82;26.14;27.02;27.28;28;27.75;26.73;26.33;25.96;26.76
2304400;Fortaleza;1967;27.99;26.16;25.59;25.54;25.84;25.43;25;25.28;26;26.49;26.47;26.65;26.93;25.65;25.6;25.42;26.03
2304400;Fortaleza;1968;26.93;26.45;25.28;25.78;25.29;25.52;25.36;26.17;26.74;27.3;27.58;27.5;26.96;25.45;25.53;25.39;26.32
2304400;Fortaleza;1969;27.4;27.92;26.92;26.65;26.71;26.04;25.62;25.78;26.38;26.91;27.39;27.58;27.63;26.76;26.46;26.12;26.77
2304400;Fortaleza;1970;27.65;27.57;26.68;26.47;26.72;26.13;26.14;26.28;26.98;27.22;27.04;27.61;27.61;26.62;26.44;26.33;26.87
2304400;Fortaleza;1971;26.7;26.71;26.41;26.21;25.91;25.61;25.41;25.71;26.61;26.91;27.21;27.19;26.86;26.17;25.91;25.64;26.38
2304400;Fortaleza;1972;27.29;27.09;26.69;26.49;26.29;25.89;25.99;26.19;26.89;27.49;27.89;28.28;27.55;26.49;26.22;26.05;26.87
2304400;Fortaleza;1973;27.92;27.45;26.98;26.52;26.81;26.56;26.25;26.82;27.39;27.2;27.55;27.73;27.7;26.77;26.63;26.54;27.09
2304400;Fortaleza;1974;27.6;27.27;26.83;26.5;26.55;26.22;26.12;26.5;27.14;27.34;27.72;28;27.62;26.63;26.42;26.29;26.98
2304400;Fortaleza;1975;27.76;27.36;26.9;26.51;25.66;25.77;25.4;26.33;26.73;27.35;27.37;26.56;27.22;26.36;25.98;25.61;26.64
2304400;Fortaleza;1976;27.07;25.7;25.81;26.12;26.43;25.79;25.74;26.14;26.44;26.63;26.93;27.48;26.75;26.12;26.11;25.98;26.35
2304400;Fortaleza;1977;26.38;26.2;26.29;26.27;26.22;25.45;25.25;25.63;26.52;27.23;27.73;27.95;26.84;26.26;25.98;25.64;26.42
2304400;Fortaleza;1978;27.37;27.22;26.5;26.35;26.32;25.64;25.59;25.8;26.3;26.86;27.21;26.98;27.19;26.39;26.1;25.85;26.51
2304400;Fortaleza;1979;27.41;27.16;26.39;26.31;26.27;25.54;26.22;26.67;26.84;27.04;27.29;27.77;27.44;26.32;26.04;26.01;26.74
2304400;Fortaleza;1980;27.48;26.36;26.48;27.63;27.65;26.81;26.38;26.87;26.92;27.37;27.41;27.46;27.1;27.25;27.36;26.94;27.06
2304400;Fortaleza;1981;27.32;26.76;26.43;27.13;26.93;26.58;26.72;26.71;26.88;27.2;27.93;27.87;27.31;26.83;26.88;26.74;27.03
2304400;Fortaleza;1982;27.24;26.95;26.73;26.58;27.29;26.69;25.66;26.18;26.63;26.77;27.67;27.66;27.28;26.86;26.85;26.54;26.83
2304400;Fortaleza;1983;28.3;27.82;27.35;27.43;27.39;26.65;26.19;26.44;26.75;26.98;27.8;27.76;27.96;27.39;27.15;26.74;27.24
2304400;Fortaleza;1984;27.77;27.38;27.04;27;27.34;26.67;25.92;26.31;26.69;26.87;27.73;27.71;27.62;27.12;27;26.64;27.03
2304400;Fortaleza;1985;28.03;27.6;27.19;27.21;27.36;26.66;26.05;26.37;26.72;26.93;27.76;27.74;27.79;27.25;27.08;26.69;27.13
2304400;Fortaleza;1986;27.9;27.49;27.11;27.11;27.35;26.66;25.99;26.34;26.7;26.9;27.75;27.72;27.7;27.19;27.04;26.67;27.08
2304400;Fortaleza;1987;27.96;27.54;27.15;27.16;27.35;26.66;26.02;26.36;26.71;26.92;27.75;27.73;27.74;27.22;27.06;26.68;27.11
2304400;Fortaleza;1988;27.93;27.52;27.13;27.13;27.35;26.66;26;26.35;26.71;26.91;27.75;27.73;27.72;27.21;27.05;26.67;27.1
2304400;Fortaleza;1989;27.95;27.53;27.14;26.05;26.35;26.05;26.01;26.15;26.71;27.25;27.75;27.45;27.64;26.51;26.15;26.13;26.86
2304400;Fortaleza;1990;27.58;27.15;27.05;27.25;26.85;26.65;26.15;26.75;26.85;27.25;27.85;27.56;27.43;27.05;26.91;26.55;27.07
2304400;Fortaleza;1991;27.86;27.16;26.46;26.66;26.76;26.56;26.16;26.26;26.86;26.86;27.26;27.66;27.56;26.62;26.66;26.49;26.87
2304400;Fortaleza;1992;27.66;27.16;26.66;26.86;26.66;26.16;25.86;26.16;26.66;26.96;27.36;27.66;27.49;26.72;26.56;26.22;26.81
2304400;Fortaleza;1993;27.46;27.96;27.26;27.36;27.46;26.36;26.26;26.56;27.16;26.91;27.31;27.66;27.69;27.36;27.06;26.69;27.14
2304400;Fortaleza;1994;27.56;27.56;26.96;27.11;27.06;26.26;26.06;26.36;26.91;26.93;27.33;27.66;27.59;27.04;26.81;26.46;26.98
2304400;Fortaleza;1995;27.51;27.76;27.11;27.23;27.26;26.31;26.16;26.46;27.03;26.92;27.32;27.66;27.64;27.2;26.93;26.57;27.06
2304400;Fortaleza;1996;27.53;27.66;27.03;27.17;27.16;26.89;26.91;26.97;27.5;27.69;27.98;28.44;27.87;27.12;27.07;26.98;27.41
2304400;Fortaleza;1997;28.5;27.74;27.56;26.86;26.46;26.67;26.66;26.82;27.21;27.88;28.1;28.17;28.13;26.96;26.66;26.59;27.38
2304400;Fortaleza;1998;28.08;28.63;28;28.31;28.01;27.28;27.34;27.17;27.86;28.44;28.6;28.5;28.4;28.1;27.86;27.54;28.01
2304400;Fortaleza;1999;28.19;28.04;26.9;26.9;26.52;26.8;27.11;27.21;27.3;27.86;28.48;28.21;28.14;26.77;26.74;26.81;27.46
2304400;Fortaleza;2000;27.39;27.59;27.32;26.93;27.26;26.82;26.6;26.45;26.69;27.3;27.84;27.83;27.6;27.17;27;26.89;27.16
2304400;Fortaleza;2001;27.42;27.75;27.37;26.42;27.39;26.71;26.57;26.76;27.46;27.93;28.35;28.71;27.96;27.06;26.84;26.89;27.4
2304400;Fortaleza;2002;27.19;27.5;27.17;26.88;27.11;26.56;26.32;26.79;27.04;27.6;27.76;28.61;27.76;27.05;26.85;26.66;27.21
2304400;Fortaleza;2003;27.89;27.08;26.77;27.04;27.25;26.79;26.81;27;27.61;28.28;28.34;28.54;27.83;27.02;27.02;26.95;27.45
2304400;Fortaleza;2004;27.29;26.92;27.24;27.42;27.54;26.33;26.43;26.97;27.36;27.83;28.13;28.24;27.48;27.4;27.09;26.76;27.3
2304400;Fortaleza;2005;28.75;28.84;28.22;28.03;27.18;26.49;26.61;26.97;27.47;27.85;28.51;28.57;28.72;27.81;27.23;26.76;27.79
2304400;Fortaleza;2006;28.45;28.05;27.52;26.85;27.06;26.37;26.57;27.13;27.81;28.21;28.34;28.72;28.4;27.14;26.76;26.66;27.59
2304400;Fortaleza;2007;28.94;27.54;27.34;27.47;27.56;26.83;26.97;27;27.5;27.72;28.24;28.11;28.19;27.45;27.28;27.12;27.6
2304400;Fortaleza;2008;27.42;27.95;26.87;26.74;26.89;26.5;26.63;26.89;27.5;28.01;28.35;28.41;27.92;26.83;26.71;26.67;27.34
2304400;Fortaleza;2009;27.68;27.08;26.69;26.65;26.5;26.54;26.28;26.63;27.39;27.47;28.05;28.26;27.67;26.61;26.56;26.44;27.1
2304400;Fortaleza;2010;28.09;28.84;28.64;28.15;27.97;27.56;27.35;27.42;27.59;28.39;28.71;28.31;28.41;28.25;27.89;27.62;28.08
2304400;Fortaleza;2011;26.85;27.16;27.24;26.68;27.24;26.77;26.53;26.92;27.33;27.78;27.84;28.27;27.42;27.05;26.89;26.84;27.21
2304400;Fortaleza;2012;28.35;27.34;27.2;27.75;27.55;27.15;27.15;27.25;27.6;27.85;28.3;28.79;28.16;27.5;27.48;27.28;27.69
2304400;Fortaleza;2013;28.55;28.9;28.85;28;27.8;27;26.9;27.55;27.85;28.3;28.4;28.55;28.66;28.21;27.6;27.23;28.05
2304400;Fortaleza;2014;28;27.3;27.4;27.15;27.15;27.25;26.8;27.15;27.5;28.05;28.1;28.25;27.85;27.23;27.18;27.06;27.5
2304400;Fortaleza;2015;27.9;28.05;27.15;27.3;27.95;27;26.6;27.35;27.67;28.17;28.25;28.4;28.11;27.46;27.41;27.18;27.65
2304400;Fortaleza;2016;27.8;27.8;28.25;27.6;27.7;27.8;27.8;27.75;28.15;28.75;29.1;28.95;28.18;27.85;27.7;27.76;28.12
2304400;Fortaleza;2017;28.05;27.85;27.15;27.65;28;27.85;27.35;27.65;27.95;28.35;28.4;28.8;28.23;27.6;27.83;27.73;27.92
2304400;Fortaleza;2018;28;27.25;27.9;27.5;27.6;27.2;26.95;27.55;28;28.5;29.1;28.2;27.81;27.66;27.43;27.25;27.81
2304400;Fortaleza;2019;27.95;27.8;27.05;27.25;27.75;27.2;27;27.25;27.9;28.2;28.95;29.15;28.3;27.35;27.4;27.31;27.78
2304400;Fortaleza;2020;28.15;27.7;28;27.95;27.85;27.3;26.95;27.4;27.95;28.55;28.95;28.7;28.18;27.93;27.7;27.36;27.95
2304400;Fortaleza;2021;28.55;28.3;27.3;28.15;26.4;27.8;27.7;28.2;28.65;29.05;29.5;29.5;28.78;27.28;27.45;27.3;28.25
2304400;Fortaleza;2022;27.6;28.2;27.4;27.55;27.25;26.75;26.75;27.25;28.1;28.7;28.55;28.9;28.23;27.4;27.18;26.91;27.75
