id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
5208707;Goiânia;1961;24.05;24.87;25.42;25.08;23.37;21.52;20.54;22.47;27.09;26.36;26.09;24.13;24.35;24.62;23.32;21.81;24.24
5208707;Goiânia;1962;25.06;25.41;24.78;24.49;21.86;20.59;20.24;23.09;26.17;24.87;25.36;24.07;24.84;23.71;22.31;20.89;23.83
5208707;Goiânia;1963;25.34;25.23;25.81;24.75;21.18;19.62;20.42;22.92;25.78;27.92;26.87;25.44;25.33;23.91;21.85;20.4;24.27
5208707;Goiânia;1964;24.71;25.65;25.24;24.76;22.59;19.98;20.6;23.16;25.31;24.42;23.67;24.1;24.82;24.19;22.44;21.05;23.68
5208707;Goiânia;1965;24.27;24.95;24.14;24.35;23.55;21.87;21.73;23.4;25.84;24.86;24.91;24.99;24.73;24.01;23.25;22.38;24.07
5208707;Goiânia;1966;24.83;24.64;25.12;23.64;23.07;20.77;21.89;23.29;24.97;25.9;25.08;25.15;24.87;23.94;22.49;21.91;24.02
5208707;Goiânia;1967;25.15;25.18;25.21;24.43;22.3;22.23;21.33;21.33;25.88;26.11;24.84;24.57;24.96;23.98;22.98;21.95;24.04
5208707;Goiânia;1968;24.91;23.5;24.8;23.7;20.68;19.98;20.54;22.99;24.73;26;25.55;24.61;24.34;23.06;21.45;20.4;23.49
5208707;Goiânia;1969;25.33;26.01;25.51;24.82;23;21.72;21.31;23.87;25.92;25.98;25.08;24.55;25.29;24.44;23.18;22.01;24.42
5208707;Goiânia;1970;25.22;24.46;24.95;24.49;23.01;22.87;22.14;23.13;25.16;25.32;25;25.87;25.18;24.15;23.45;22.67;24.3
5208707;Goiânia;1971;25.76;25.11;25.26;24.49;22.92;21.9;21.67;22.83;24.49;24.1;24;24.64;25.17;24.22;23.1;22.16;23.93
5208707;Goiânia;1972;24.79;24.54;25.2;23.69;22.77;21.89;21.9;22.98;24.82;24.71;24.5;25.25;24.86;23.88;22.78;22.18;23.92
5208707;Goiânia;1973;25.27;24.82;25.23;24.09;22.84;21.89;21.78;22.9;26.32;24.9;25.2;25.14;25.07;24.05;22.94;22.17;24.2
5208707;Goiânia;1974;24.8;25.34;24.25;24.47;22.87;21.76;20.76;23.42;25.59;25.52;25.46;24.35;24.83;23.86;23.03;21.79;24.04
5208707;Goiânia;1975;24.64;25.21;25.33;24.26;22.31;21.9;20.43;24.05;26.04;24.98;24.62;24.98;24.94;23.96;22.82;21.54;24.06
5208707;Goiânia;1976;25.34;24.6;24.7;24.37;23.22;21.48;21.71;23.79;23.88;24.73;25.04;24.66;24.86;24.09;23.02;22.13;23.96
5208707;Goiânia;1977;24.36;25.05;26.32;24.84;22.31;22.43;22.36;24.43;24.82;26.27;25.49;25.56;24.99;24.49;23.19;22.36;24.52
5208707;Goiânia;1978;25.15;25.27;24.77;24.22;22.87;21.26;22.24;22.58;25.05;26.18;24.8;24.64;25.02;23.95;22.78;22.12;24.08
5208707;Goiânia;1979;24.75;25.16;25.54;24.53;22.59;21.84;21.74;23.9;24.78;26.28;25.14;25.37;25.09;24.22;22.98;22.05;24.3
5208707;Goiânia;1980;24.61;24.37;25.8;24.77;22.73;22.38;22.97;24.73;24.86;26.79;25.47;24.29;24.42;24.43;23.29;22.69;24.48
5208707;Goiânia;1981;24.68;24.76;25.67;24.65;22.66;22.11;22.35;24.31;24.82;26.53;24.7;25.54;24.99;24.32;23.14;22.37;24.4
5208707;Goiânia;1982;24.37;25.53;25.6;24.21;22.86;23.17;22.28;23.87;25.22;25.4;26.39;24.61;24.83;24.22;23.41;22.77;24.45
5208707;Goiânia;1983;24.82;25.72;25.12;25.31;24.23;23.34;22.97;23.58;25.82;24.96;24.65;24.14;24.89;24.88;24.29;23.51;24.55
5208707;Goiânia;1984;25.43;25.91;25.99;25.11;24.63;22.46;22.82;23.55;24.3;26.51;26.14;25.16;25.5;25.24;24.06;23.3;24.83
5208707;Goiânia;1985;23.73;25.56;25.57;24.96;24.51;19.97;21.44;24.45;26.34;25.07;25.08;25.24;24.84;25.01;23.14;21.97;24.32
5208707;Goiânia;1986;25.11;25.3;25.6;25.69;24.51;22.02;22.21;24.58;25.14;25.52;25.6;24.8;25.07;25.26;24.07;22.91;24.67
5208707;Goiânia;1987;25.72;25.36;25.15;25.49;24.41;22.76;23.05;24.08;26.88;27.1;25.71;25.09;25.39;25.01;24.22;23.4;25.06
5208707;Goiânia;1988;25.97;25.28;25.53;25.9;24.55;21.65;21.39;23.35;26.52;26.08;25.47;25.07;25.44;25.32;24.03;22.53;24.73
5208707;Goiânia;1989;25.18;25.31;25.3;25.53;23.15;22.75;21.22;24.07;26.7;26.59;25.59;25.08;25.19;24.66;23.81;22.37;24.7
5208707;Goiânia;1990;25.57;25.29;25.41;25.71;23.85;22.2;21.3;23.71;26.61;26.33;25.53;25.07;25.31;24.99;23.92;22.45;24.71
5208707;Goiânia;1991;25.37;25.3;25.35;25.62;23.5;22.47;21.26;23.89;26.65;26.46;25.56;25.07;25.24;24.82;23.86;22.41;24.71
5208707;Goiânia;1992;25.47;25.29;25.38;25.66;23.67;22.33;21.28;23.8;26.63;26.39;25.54;25.07;25.27;24.91;23.89;22.43;24.71
5208707;Goiânia;1993;25.42;25.3;25.37;25.64;23.58;22.4;21.27;23.84;26.64;26.43;25.55;25.07;25.26;24.86;23.87;22.42;24.71
5208707;Goiânia;1994;25.45;25.29;25.37;25.65;23.63;22.37;21.27;23.82;26.63;26.41;25.54;25.07;25.27;24.88;23.88;22.42;24.71
5208707;Goiânia;1995;25.64;24.61;25.85;25.65;23.6;22.38;21.27;23.83;26.9;27.23;26.48;25.07;25.1;25.03;23.88;22.42;24.87
5208707;Goiânia;1996;25.54;24.95;25.77;24.95;23.74;21.41;22.34;25.15;26;26.37;24.94;25.47;25.32;24.82;23.36;22.49;24.72
5208707;Goiânia;1997;24.8;25.58;24.6;24.19;22.62;21.13;21.68;23.98;26.7;27.13;26.64;25.77;25.38;23.8;22.64;21.81;24.56
5208707;Goiânia;1998;26.13;26.63;26.79;26.87;23.67;23.16;23.26;26.43;27.28;26.9;25.48;25.58;26.11;25.77;24.56;23.36;25.68
5208707;Goiânia;1999;26.15;26.03;25.86;25.64;23;23.27;24.25;24.09;26.61;26.84;25.51;25.57;25.91;24.83;23.97;23.5;25.23
5208707;Goiânia;2000;25.23;25.4;25.51;25.29;23.83;22.78;21.93;25.62;25.43;27.17;24.95;25.13;25.25;24.87;23.96;22.84;24.85
5208707;Goiânia;2001;25.72;26.13;25.51;25.32;23.52;22.41;22.92;23.56;25.74;24.9;25.08;25.36;25.73;24.78;23.75;22.95;24.68
5208707;Goiânia;2002;25.63;25.35;25.96;25.98;24.36;23.13;23.79;25.9;25.69;28.22;26.48;26.37;25.78;25.43;24.49;23.76;25.57
5208707;Goiânia;2003;25.71;26.1;25.61;26.01;23.52;23.02;22.68;24.75;26.89;26.26;26.04;26.9;26.23;25.04;24.18;23.07;25.29
5208707;Goiânia;2004;25.22;24.9;25.54;25.29;23.85;22.16;22.28;24.27;27.75;27.11;26.38;25.7;25.27;24.89;23.76;22.76;25.03
5208707;Goiânia;2005;25.82;26.31;25.94;26.41;23.9;23.33;22.94;25.01;27.81;28.23;25.73;24.85;25.66;25.41;24.54;23.39;25.52
5208707;Goiânia;2006;26.14;25.41;25.58;25.41;23.19;23.03;23.17;26.05;26.71;25.78;25.85;26.07;25.87;24.72;23.87;23.13;25.19
5208707;Goiânia;2007;26.3;25.6;26.49;26.31;23.96;23.42;24.04;25.02;28.02;28.38;26.74;25.71;25.87;25.58;24.56;23.8;25.83
5208707;Goiânia;2008;25.25;25.57;25.24;25.47;23.57;23.02;22.42;25.31;26.75;27.51;26.28;25.4;25.4;24.76;24.02;23;25.14
5208707;Goiânia;2009;26.1;26.16;26.26;24.87;24.16;22.63;24.12;25.06;26.86;26.5;26.62;25.31;25.85;25.09;23.88;23.63;25.38
5208707;Goiânia;2010;26.38;27.11;26.37;25.52;24.68;23.58;24.36;24.91;28.18;27.37;25.57;25.91;26.46;25.52;24.59;24.2;25.82
5208707;Goiânia;2011;25.68;25.91;25.36;25.89;24.2;22.89;23.62;25.89;27.54;25.26;25.15;24.95;25.51;25.15;24.32;23.57;25.19
5208707;Goiânia;2012;24.31;25.34;25.95;26.1;23.71;24.11;23.31;24.41;27.31;28;25.86;26.65;25.43;25.25;24.64;23.71;25.42
5208707;Goiânia;2013;25.15;26.25;26.5;25.3;24.4;24.14;23.3;24.7;26.9;26.6;25.79;25.64;25.68;25.4;24.61;23.94;25.38
5208707;Goiânia;2014;26.13;25.99;25.43;25.69;24.19;23.39;23.14;25.09;28.04;28.09;26.44;25.28;25.8;25.1;24.42;23.57;25.57
5208707;Goiânia;2015;27.48;25.62;25.28;25.88;24.08;23.68;24.03;25.38;28.18;29.58;27.68;27.22;26.77;25.08;24.54;23.93;26.17
5208707;Goiânia;2016;25.37;27.17;26.77;25.78;25.57;23.77;24.22;25.77;28.12;27.07;25.67;26.36;26.3;26.04;25.04;24.52;25.97
5208707;Goiânia;2017;26.16;25.86;26.36;26.21;25.21;23.66;21.71;25.56;27.16;28.76;26.01;25.35;25.79;25.92;25.02;23.52;25.66
5208707;Goiânia;2018;26;25.65;26.35;25.99;25.39;23.8;23.45;25.85;27.2;27.3;25.4;26.28;25.97;25.91;25.06;24.21;25.72
5208707;Goiânia;2019;26.88;26.33;26.18;25.88;25.18;23.43;22.88;25.73;28.88;28.33;27.33;26.77;26.66;25.74;24.83;23.83;26.15
5208707;Goiânia;2020;26.12;25.77;26.07;25.42;22.82;23.27;23.52;24.77;27.97;27.12;26.32;26.21;26.03;24.77;23.83;23.2;25.44
5208707;Goiânia;2021;26.16;25.36;25.01;25.01;23.81;23.31;21.96;25.46;28.81;27.26;25.46;25.55;25.69;24.61;24.04;23.02;25.26
5208707;Goiânia;2022;25;25.35;26.25;26.15;23.2;23.45;23.6;25.25;27.6;26.95;25.1;24.85;25.06;25.2;24.26;23.41;25.22
