id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
1600303;Macapá;1967;26.91;26.86;26.41;27.07;26.9;27.14;27.04;27.54;28.01;28.23;28.24;27.34;27.03;26.79;27.03;27.03;27.3
1600303;Macapá;1968;27.16;26.44;25.78;26.7;26.11;26.56;26.75;27.27;28;27.96;27.87;27.04;26.88;26.19;26.45;26.47;26.97
1600303;Macapá;1969;26.66;27.28;27.05;27.44;27.69;27.73;27.34;27.81;28.03;28.51;28.61;28.62;27.52;27.39;27.62;27.58;27.73
1600303;Macapá;1970;28.16;27.74;26.69;26.97;27.3;27.12;27.11;27.69;27.86;28.33;27.37;27.59;27.83;26.98;27.13;27.17;27.49
1600303;Macapá;1971;26.7;26.01;25.98;26.19;26.42;26.21;26.65;27.18;27.16;27.99;28;27.55;26.75;26.19;26.27;26.42;26.83
1600303;Macapá;1972;26.08;25.82;26.09;26.26;27.12;27.14;27.15;27.39;27.94;28.29;28.1;26.88;26.26;26.49;26.84;27.13;27.02
1600303;Macapá;1973;26.73;26.49;26.52;26.72;26.5;27.31;27.26;27.59;27.75;28.38;28.35;26.62;26.61;26.58;26.84;27.02;27.18
1600303;Macapá;1974;26.29;25.75;25.84;26.6;26.12;26.65;26.56;27.35;27.81;28.07;27.86;27.15;26.39;26.18;26.45;26.44;26.83
1600303;Macapá;1975;26.56;25.74;26.7;25.91;26.56;27.01;26.72;27.56;28.49;28.27;28.12;27.67;26.65;26.39;26.49;26.76;27.1
1600303;Macapá;1976;26.06;25.66;26.17;26.7;27.02;26.89;27.01;27.31;27.66;28.52;28.33;28.65;26.79;26.63;26.87;26.97;27.16
1600303;Macapá;1977;26.7;25.85;26.45;26.8;27.02;26.76;27.03;27.6;28.45;28.54;28.67;28;26.85;26.75;26.86;26.93;27.32
1600303;Macapá;1978;26.6;27.25;26.51;26.95;27.23;27.31;26.97;27.31;27.9;28.25;28.46;27.09;26.98;26.89;27.16;27.17;27.31
1600303;Macapá;1979;26.98;26.21;27.22;26.91;26.99;27.56;27.32;27.99;28.31;28.31;28.74;28.09;27.09;27.04;27.15;27.29;27.55
1600303;Macapá;1980;26.83;26.62;26.55;27.58;27.87;27.45;27.48;27.95;28.74;28.83;28.5;28.36;27.27;27.33;27.63;27.6;27.73
1600303;Macapá;1981;27;27.34;27.89;28.15;27.22;27.68;27.04;28.39;28.23;28.45;28.5;28.29;27.54;27.75;27.68;27.31;27.84
