id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
2408102;Natal;1983;27.56;27.68;27.6;27.14;26.31;25.57;24.89;24.68;25.58;26.7;27.16;27.7;27.64;27.01;26.34;25.59;26.54
2408102;Natal;1984;27.44;27.67;27.46;26.35;25.74;25.23;24.47;24.81;25.76;26.88;27.41;27.73;27.61;26.51;25.77;25.14;26.41
2408102;Natal;1985;27.81;27.55;27.51;27.28;26.57;25.56;24.91;24.79;25.85;26.73;27.11;27.7;27.68;27.12;26.47;25.68;26.61
2408102;Natal;1986;27.28;26.46;26.08;26.05;26.09;24.93;24.84;25.13;25.35;26.61;26.76;27.3;27.01;26.07;25.69;25.28;26.07
2408102;Natal;1987;27.7;27.44;27.37;27.08;26.87;25.83;25.37;25.91;26.25;27.25;27.93;28.11;27.75;27.1;26.59;26.02;26.92
2408102;Natal;1988;28.07;27.89;27.49;27.38;26.46;25.48;24.69;24.43;24.71;26.55;27.04;26.95;27.63;27.11;26.44;25.54;26.42
2408102;Natal;1989;27.22;27.9;27.54;26.42;26.08;25.81;24.86;24.88;26.37;26.8;27.31;28.12;27.74;26.68;26.1;25.58;26.61
2408102;Natal;1990;27.39;27.25;27.77;27.62;26.4;25.44;25.12;24.75;25.67;26.75;27.13;27.13;27.25;27.26;26.48;25.65;26.53
2408102;Natal;1991;28.04;28.07;27.69;27.21;26.7;25.82;24.95;24.7;25.72;26.49;27.03;28.52;28.21;27.2;26.57;25.82;26.74
2408102;Natal;1992;28;27.34;27.07;27.02;26.63;25.42;24.67;24.92;26.18;26.97;27.18;27.47;27.6;26.9;26.35;25.57;26.57
2408102;Natal;1993;27.53;28.02;27.95;27.43;27.08;25.87;24.86;25.57;26.33;26.86;27.35;28.52;28.02;27.48;26.79;25.93;26.94
2408102;Natal;1994;28.36;28.4;28.31;27.42;26.91;25.81;25.34;25.35;26.25;27.19;27.83;28.33;28.36;27.55;26.71;26.02;27.12
2408102;Natal;1995;28.13;28.29;28.25;27.3;26.39;25.91;24.31;25.51;25.77;26.62;27.03;27.54;27.98;27.31;26.53;25.53;26.75
2408102;Natal;1996;28.11;28.33;27.64;27.3;26.84;25.72;24.95;25.55;26.05;26.87;27.59;28.49;28.31;27.26;26.62;25.83;26.95
2408102;Natal;1997;28.17;28.54;27.82;27.41;26.3;25.35;25.02;24.84;26.5;27.72;28.23;28.11;28.27;27.17;26.35;25.55;27
2408102;Natal;1998;28.15;28.02;28.11;27.84;26.98;25.61;25.33;25.73;26.37;28.29;28.57;28.96;28.37;27.64;26.81;25.97;27.33
