id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
2611606;Recife;1942;26.03;25.8;26.33;25.3;24.23;23.2;22.5;22.57;23.43;24.6;25.43;25.27;25.7;25.29;22.75;24.49;24.56
2611606;Recife;1943;25.77;25.77;26.07;24.87;24.07;23.27;22.37;22.57;23.47;24.77;25.17;25.6;25.71;25;22.73;24.47;24.48
2611606;Recife;1944;25.7;26;26.3;25.1;24.2;23.5;22.7;22;22.9;24.4;25.5;26.14;25.94;25.2;22.73;24.26;24.53
2611606;Recife;1945;26.64;25.64;26.64;25.94;24.44;22.84;22.44;23.14;23.94;24.64;25.64;25.57;25.95;25.67;22.8;24.74;24.79
2611606;Recife;1946;25.67;26.57;25.97;24.77;24.67;23.57;23.57;23.57;23.77;24.57;24.97;25.51;25.91;25.13;23.57;24.43;24.76
2611606;Recife;1947;25.81;25.91;25.71;25.18;24.21;23.51;23.31;23.41;23.81;25.11;25.71;26.02;25.91;25.03;23.41;24.87;24.8
2611606;Recife;1948;26.25;26.05;25.95;25.85;24.45;23.85;23.25;22.95;23.75;24.95;25.35;25.98;26.09;25.41;23.35;24.68;24.88
2611606;Recife;1949;26.18;26.38;26.78;25.58;24.18;23.58;22.98;22.58;23.98;25.08;25.48;26.12;26.22;25.51;23.04;24.84;24.9
2611606;Recife;1950;26.32;27.02;25.92;24.12;23.82;23.32;22.52;22.42;23.82;24.82;25.42;25.97;26.43;24.62;22.75;24.68;24.62
2611606;Recife;1951;25.96;25.76;26.56;25.56;24.46;22.86;22.36;22.86;23.76;24.96;25.36;25.91;25.87;25.52;22.69;24.69;24.69
2611606;Recife;1952;26.29;26.89;25.79;25.29;24.29;23.59;23.09;22.89;24.39;24.69;25.39;25.93;26.37;25.12;23.19;24.82;24.87
2611606;Recife;1953;25.93;26.33;26.23;25.53;24.63;23.23;23.03;22.93;24.53;24.93;25.53;26.07;26.11;25.46;23.06;24.99;24.9
2611606;Recife;1954;26.27;26.67;26.57;25.77;24.27;23.77;22.77;22.77;23.97;24.57;24.97;25.75;26.23;25.53;23.1;24.5;24.84
2611606;Recife;1955;26.05;25.45;24.85;24.85;23.95;23.15;22.55;22.65;23.95;24.75;25.35;25.71;25.73;24.55;22.78;24.68;24.43
2611606;Recife;1956;25.93;26.03;25.83;25.23;25.33;23.83;23.03;22.83;23.83;24.93;25.23;25.61;25.85;25.46;23.23;24.66;24.8
