id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
5107206;Rio Branco;1971;26.94;26.92;27.28;25.76;24.73;23.82;25.05;25.72;27.14;26.28;26.93;27.08;26.98;25.92;24.77;24.53;26.13
5107206;Rio Branco;1972;26.25;26.54;27.14;26.06;26.8;26.03;24.67;25.48;26.75;27.36;27.29;27.53;26.77;26.66;26.29;25.83;26.49
5107206;Rio Branco;1973;27.63;27.3;27.42;27.7;25.09;25.59;24.01;24.95;26.08;27.17;26.77;26.69;27.2;26.73;26.12;24.89;26.36
5107206;Rio Branco;1974;26.35;25.86;26.38;26.28;25.42;25.42;23.83;25.34;26.24;26.93;27.37;26.59;26.26;26.02;25.7;24.89;26
5107206;Rio Branco;1975;26.61;26.53;26.96;26.98;25.44;25.45;23.59;25.28;27.04;27.66;27.23;26.35;26.49;26.46;25.95;24.82;26.26
5107206;Rio Branco;1976;26.19;26.16;26.33;26.11;25.58;24.2;24.51;26.3;26.81;27.58;27.07;27.22;26.52;26;25.29;24.76;26.17
5107206;Rio Branco;1977;26.98;26.65;27.18;26.8;25.37;25.2;25.81;25.91;26.7;26.46;27.13;26.69;26.77;26.45;25.79;25.46;26.4
5107206;Rio Branco;1978;26.7;27.32;27.26;27;25.87;24.84;25.93;24.38;26.64;27.28;27.45;26.31;26.77;26.71;25.9;25.54;26.41
5107206;Rio Branco;1979;27.65;27.11;27.2;26.41;27.21;23.75;24.87;26.23;26.48;27.26;26.82;26.65;27.13;26.94;25.79;25.27;26.47
5107206;Rio Branco;1980;27.52;27.49;27.5;27.73;27.13;23.83;25.97;26.39;26.47;27.31;27.32;27.45;27.48;27.45;26.23;25.64;26.84
5107206;Rio Branco;1981;27.78;27.79;27.6;27.89;27.3;23.66;25.62;26.06;26.4;27.21;27.26;27.42;27.66;27.6;26.28;25.53;26.83
5107206;Rio Branco;1982;27.27;27.2;27.41;27.56;26.96;24.01;26.32;26.73;26.54;27.41;27.39;27.48;27.31;27.31;26.18;25.76;26.85
5107206;Rio Branco;1983;28.29;28.39;27.79;28.23;27.64;23.32;24.93;25.4;26.27;27.01;27.14;27.36;28.01;27.88;26.39;25.29;26.81
5107206;Rio Branco;1984;26.81;27.08;27.4;26.9;26.29;24.7;24.72;25.08;26.82;27.81;27.64;27.6;27.16;26.86;25.96;25.23;26.57
5107206;Rio Branco;1985;26.92;27.14;27.45;26.68;26.61;24.38;24.61;24.72;26.64;27.6;27.19;27.25;27.1;26.91;25.89;25.2;26.43
5107206;Rio Branco;1986;26.9;26.88;27.29;27.19;27.02;25.13;24.3;26.25;26.16;27.05;27.57;27.64;27.14;27.16;26.44;25.48;26.61
5107206;Rio Branco;1987;27.28;26.96;27.2;26.72;27.18;25.34;24.55;26.41;27.13;27.53;26.99;26.78;27;27.03;26.41;25.69;26.67
5107206;Rio Branco;1988;27.1;26.95;27.18;26.75;27.22;25.34;24.57;26.55;27.13;27.63;27;26.83;26.96;27.05;26.44;25.71;26.69
5107206;Rio Branco;1989;27.08;26.97;27.23;26.68;27.15;25.33;24.52;26.28;27.13;27.43;26.98;26.74;26.93;27.02;26.39;25.67;26.63
5107206;Rio Branco;1990;27.13;26.92;27.13;26.83;27.28;25.34;24.62;26.83;27.13;27.83;27.03;26.93;26.99;27.08;26.48;25.75;26.75
5107206;Rio Branco;1991;27.03;27.03;27.33;26.53;27.03;25.33;24.43;25.73;27.13;27.03;26.93;26.55;26.87;26.96;26.29;25.59;26.5
5107206;Rio Branco;1992;27.24;26.82;26.94;27.14;27.54;25.36;24.82;25.74;27.34;27.44;26.54;26.15;26.73;27.2;26.68;25.91;26.59
5107206;Rio Branco;1993;26.92;27.09;27.24;27.21;26.3;25.31;24.69;24.92;26.93;27.99;27.52;26.96;26.99;26.91;26.27;25.43;26.59
5107206;Rio Branco;1994;26.86;26.56;27.14;27.16;26.24;25.42;24.96;26.46;27.76;27.76;27.42;26.68;26.7;26.85;26.27;25.54;26.7
5107206;Rio Branco;1995;27.56;26.7;27.46;26.66;26.06;25.02;26.52;26.38;27.22;27.82;27.62;26.73;26.99;26.72;25.91;25.86;26.81
5107206;Rio Branco;1996;26.43;26.43;26.83;26.53;26.43;25.82;23.33;26.43;26.93;28.93;27.23;26.64;26.5;26.59;26.26;25.19;26.49
5107206;Rio Branco;1997;26.91;26.98;26.33;26.84;26.06;26.55;26.16;26.34;28.04;28.7;28.21;28.06;27.31;26.41;26.48;26.25;27.09
5107206;Rio Branco;1998;28;28.08;28.07;27.99;25.46;25.1;26.31;27.49;27.23;27.85;27.24;26.86;27.64;27.17;26.18;25.62;27.14
5107206;Rio Branco;1999;26.63;27.12;26.99;25.99;26.15;24.93;24.65;24.93;27.64;27.55;26.67;27.3;27.01;26.37;25.69;25.24;26.37
5107206;Rio Branco;2000;26.92;26.74;26.74;26.59;25.86;24.89;25.38;26.1;26.77;27.62;27.43;27.62;27.09;26.39;25.78;25.37;26.55
5107206;Rio Branco;2001;26.79;26.86;26.94;27.27;25.81;23.76;25.35;27.15;27.91;28.44;28.53;27.22;26.95;26.67;25.61;24.97;26.83
5107206;Rio Branco;2002;27.57;27.45;27.23;27;26.92;24.74;25.42;27.28;27.37;28.39;27.46;27.26;27.42;27.05;26.22;25.69;27
5107206;Rio Branco;2003;27.79;26.83;27.02;26.86;26.69;26.55;25.35;25.26;26.89;28;27.77;27.82;27.48;26.85;26.7;26.19;26.9
5107206;Rio Branco;2004;27.8;27.3;27.54;27.73;24.15;25.15;25.3;26.19;27.23;27.76;27.2;27.32;27.47;26.47;25.67;24.86;26.72
5107206;Rio Branco;2005;27.83;27.32;27.42;27.03;27.19;26.43;24.47;26.96;26.63;28.27;27.61;27.17;27.44;27.21;26.88;26.03;27.02
5107206;Rio Branco;2006;27.09;27.04;27.81;26.75;23.9;26.09;26.46;27.25;27.42;28.19;27.77;27.46;27.19;26.15;25.58;25.48;26.93
5107206;Rio Branco;2007;27.85;27.44;27.68;27.38;25.34;25.93;25.45;26.04;28.03;28.44;27.66;27.33;27.54;26.8;26.21;25.57;27.04
5107206;Rio Branco;2008;26.81;26.75;26.6;26.51;24.79;23.12;26.3;27.52;27.34;27.84;27.74;26.88;26.81;25.96;24.8;24.73;26.51
5107206;Rio Branco;2009;26.92;26.53;27.1;26.7;26.56;24.46;25.18;26.74;27.52;28.34;27.81;26.9;26.78;26.78;25.9;25.4;26.73
5107206;Rio Branco;2010;27.19;27.55;27.82;27.44;25.66;26.02;24.54;26.41;28.4;27.99;27.36;27.45;27.39;26.97;26.37;25.4;26.98
5107206;Rio Branco;2011;27.16;26.68;27.02;27.12;26.23;26.18;26.11;26.54;27.93;27.77;27.93;27.58;27.14;26.79;26.51;26.17;27.02
5107206;Rio Branco;2012;26.47;26.42;27.05;27.55;26.5;25.94;25.15;26.64;28.25;28.2;28.2;27.66;26.85;27.03;26.66;25.86;27
5107206;Rio Branco;2013;27.81;27.56;27.46;27.23;26.53;27.08;25.18;25.23;27.42;27.68;27.18;27.44;27.6;27.07;26.94;26.26;26.98
5107206;Rio Branco;2014;26.94;26.99;27.13;27.24;26.34;25.74;24.39;26.64;28.54;28.23;27.89;27.3;27.07;26.9;26.44;25.49;26.94
5107206;Rio Branco;2015;26.6;26.85;27;27.45;26.6;26.35;26.25;27.7;27.65;28.33;27.75;27.34;26.93;27.01;26.8;26.4;27.15
5107206;Rio Branco;2016;26.79;27.06;27.26;26.99;26.84;24.39;26.75;27.7;27.15;28.25;27.65;27.31;27.05;27.03;26.07;25.99;27.01
5107206;Rio Branco;2017;26.46;27.11;27.31;26.91;27.51;25.26;25.11;27.71;28.16;28.41;27.86;27.37;26.98;27.24;26.56;25.96;27.09
5107206;Rio Branco;2018;27.12;27.02;27.22;27.07;26.17;23.52;25.42;25.37;27.72;28.27;27.82;27.23;27.12;26.82;25.58;25.03;26.66
5107206;Rio Branco;2019;27.53;27.28;27.68;27.63;26.58;26.88;25.63;26.43;29.03;27.73;27.63;27.68;27.49;27.29;27.03;26.36;27.3
5107206;Rio Branco;2020;28.23;27.48;27.83;26.88;25.93;26.13;26.03;27.18;28.93;28.43;28.78;27.49;27.73;26.88;26.31;26.03;27.44
5107206;Rio Branco;2021;26.84;27.04;26.89;27.14;25.89;24.89;25.04;27.54;29.24;28.59;27.69;27.9;27.26;26.64;25.97;25.27;27.05
5107206;Rio Branco;2022;27.8;27.15;27.45;28;26.25;25.2;27.65;26.95;28.45;28.95;27.85;28.2;27.71;27.23;26.48;26.36;27.49
