id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
2927408;Salvador;1961;25.36;25.63;25.98;25.48;23.83;23.11;22.03;22.18;22.98;23.33;24.53;24.75;25.24;25.09;24.14;22.99;24.1
2927408;Salvador;1962;25.85;25.75;25.85;25.55;24.25;23.15;22.25;22.25;23.15;22.75;24.45;24.91;25.5;25.21;24.31;23.21;24.18
2927408;Salvador;1963;24.88;25.51;26.11;25.41;23.41;23.08;21.81;22.11;22.81;23.91;24.61;24.43;24.94;24.97;23.96;22.76;24
2927408;Salvador;1964;25.03;25.43;25.23;24.73;23.83;22.83;22.53;22.53;23.03;23.53;23.63;24.24;24.9;24.59;23.79;23.06;23.88
2927408;Salvador;1965;24.74;25.54;25.84;24.74;24.34;23.34;23.04;22.64;23.44;24.14;24.64;25.16;25.14;24.97;24.14;23.57;24.3
2927408;Salvador;1966;25.66;25.06;25.16;25.06;23.96;23.36;22.56;22.46;22.86;23.96;24.26;24.77;25.16;24.72;24.12;23.29;24.09
2927408;Salvador;1967;25.97;25.97;25.57;25.17;24.17;23.67;22.37;22.37;23.27;23.87;24.27;24.28;25.4;24.97;24.33;23.4;24.24
2927408;Salvador;1968;24.88;24.88;24.68;24.58;23.08;21.58;21.88;21.68;22.68;23.68;23.68;24.7;24.82;24.11;23.08;22.18;23.49
2927408;Salvador;1969;25.4;25.3;25.3;25.3;24.2;23.7;23.3;22.8;23.6;24.6;25.1;24.71;25.13;24.93;24.4;23.73;24.44
2927408;Salvador;1970;25.21;25.71;25.71;24.81;24.11;23.21;22.31;22.31;23.61;24.51;24.71;25.43;25.45;24.87;24.04;23.21;24.3
2927408;Salvador;1971;25.33;25.93;26.53;25.33;24.23;23.43;22.53;22.43;23.33;23.83;24.43;25.14;25.46;25.36;24.33;23.39;24.37
2927408;Salvador;1972;25.44;25.24;26.24;24.94;24.34;23.54;23.04;23.14;23.84;24.64;25.24;26.76;25.81;25.17;24.27;23.64;24.7
2927408;Salvador;1973;26.26;26.96;26.86;26.06;24.66;23.96;23.36;23.66;23.66;25.26;24.96;25.47;26.23;25.86;24.89;23.99;25.09
2927408;Salvador;1974;25.57;25.47;25.57;25.37;24.37;23.27;22.47;22.67;23.27;24.2;24.17;25.39;25.47;25.1;24.33;23.37;24.31
2927408;Salvador;1975;25.49;25.69;25.49;24.79;23.69;23.69;22.29;23.39;23.91;24.11;24.69;24.3;25.16;24.65;24.05;23.22;24.29
2927408;Salvador;1976;25.4;24.9;25.3;24.6;24.8;23.4;23.2;22.4;24.3;24.3;25.5;26.12;25.47;24.9;24.26;23.8;24.51
2927408;Salvador;1977;25.32;25.82;26.32;25.22;24.12;23.52;22.77;23;23.52;23.92;25.42;25.13;25.42;25.22;24.28;23.47;24.5
