id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
1400605;São Luiz;1975;26.45;26.1;26.34;26.2;26.15;26.05;26;27.15;26.8;26.95;27.65;26.96;26.5;26.23;26.13;26.06;26.56
1400605;São Luiz;1976;26.86;26.06;26.34;26.16;26.46;25.86;25.96;27.26;26.26;26.76;26.96;27.35;26.75;26.32;26.16;26.09;26.52
1400605;São Luiz;1977;26.05;26.15;26.35;26.25;25.85;26.25;26.05;27.05;27.35;27.15;28.35;25.34;25.84;26.15;26.11;26.05;26.51
1400605;São Luiz;1978;27.14;26.94;26.34;26.04;26.94;26.34;26.74;26.95;27.32;26.45;27.15;27.86;27.31;26.44;26.44;26.67;26.85
1400605;São Luiz;1979;27.29;26.77;26.77;27.12;27.17;27.02;26.62;26.92;27.37;26.92;27.52;27.96;27.34;27.02;27.1;26.93;27.12
1400605;São Luiz;1980;27.21;26.08;26.58;26.98;27.48;26.98;26.58;26.98;27.28;25.98;26.78;27.77;27.02;27.01;27.14;27.01;26.89
1400605;São Luiz;1981;27.37;27.47;26.97;27.27;26.87;27.07;26.67;26.87;27.47;27.87;28.27;28.16;27.66;27.03;27.07;26.87;27.36
1400605;São Luiz;1982;27.06;26.26;26.76;26.56;27.36;26.86;26.86;26.96;27.36;27.36;27.86;28.15;27.15;26.89;26.92;27.02;27.11
1400605;São Luiz;1983;28.35;27.55;27.85;27.95;28.05;27.65;27.35;27.55;28.35;27.95;27.85;28.24;28.04;27.95;27.88;27.68;27.89
1400605;São Luiz;1984;26.74;26.84;26.44;26.44;26.14;26.94;26.54;26.74;26.94;27.44;27.64;27.73;27.1;26.34;26.5;26.54;26.88
1400605;São Luiz;1985;26.53;25.73;26.13;25.93;26.23;26.23;25.93;26.73;27.03;27.23;27.43;27.83;26.69;26.09;26.13;26.13;26.58
1400605;São Luiz;1986;26.72;26.02;25.72;26.22;26.72;26.42;26.32;26.72;27.22;27.12;28.02;27.01;26.58;26.22;26.45;26.48;26.68
1400605;São Luiz;1987;27.61;27.31;26.11;27.61;27.61;26.91;27.31;27.31;27.61;27.71;28.21;28.5;27.8;27.11;27.37;27.27;27.48
1400605;São Luiz;1988;27.4;27;26.7;26.7;26.9;26.9;26.4;26.9;27.3;27.7;27.9;27.09;27.16;26.76;26.83;26.73;27.07
1400605;São Luiz;1989;26.79;26.69;26.19;25.89;25.79;26.59;26.29;26.39;27.09;27.49;27.49;27.18;26.88;25.95;26.09;26.22;26.65
1400605;São Luiz;1990;27.18;26.58;27.08;27.28;27.38;27.18;26.28;26.98;27.28;27.68;27.78;27.67;27.14;27.24;27.28;26.94;27.19
1400605;São Luiz;1991;26.87;27.17;26.27;27.77;26.57;26.97;26.57;26.47;27.07;27.67;27.67;27.96;27.33;26.87;27.1;26.7;27.08
1400605;São Luiz;1992;27.66;28.66;26.86;27.56;27.86;27.16;26.66;27.06;27.46;27.56;27.86;28.27;28.19;27.42;27.52;27.22;27.55
1400605;São Luiz;1993;27.55;26.85;26.85;27.25;27.55;27.55;26.75;27.25;27.45;28.05;28.35;28.24;27.54;27.21;27.45;27.28;27.47
1400605;São Luiz;1994;27.37;26.84;26.44;26.84;27.14;27.14;27.04;27.14;27.64;27.84;27.92;28.3;27.5;26.8;27.04;27.1;27.3
1400605;São Luiz;1995;27.63;27.41;27.03;26.53;27.16;27.43;27.23;27.03;27.33;27.73;27.73;28.12;27.72;26.9;27.04;27.27;27.36
1400605;São Luiz;1996;27.12;27.22;26.72;26.62;27.02;27.12;27.12;27.22;27.22;27.82;28.12;28.49;27.61;26.78;26.92;27.08;27.31
1400605;São Luiz;1997;27.81;27.61;26.91;26.91;27.31;27.41;27.01;27.51;27.61;28.01;28.21;28.4;27.94;27.04;27.21;27.24;27.55
1400605;São Luiz;1998;27.9;28.7;26.79;28.6;28.3;27.7;27.3;27.8;28.2;28.5;28.48;28.58;28.39;27.89;28.2;27.76;28.07
1400605;São Luiz;1999;27.55;27.38;26.76;27.02;27.7;27.34;27.18;27.43;28.01;28.58;28.51;28.57;27.83;27.16;27.35;27.4;27.66
1400605;São Luiz;2000;27.53;27.33;26.82;27.04;27.73;27.35;27.17;27.48;27.96;28.52;28.46;28.59;27.81;27.19;27.37;27.41;27.66
1400605;São Luiz;2001;27.58;27.43;26.7;27;27.66;27.34;27.2;27.38;28.05;28.65;28.55;28.56;27.85;27.12;27.33;27.4;27.67
1400605;São Luiz;2002;27.48;27.22;26.93;27.08;27.8;27.36;27.13;27.58;27.88;28.39;28.38;28.63;27.77;27.27;27.41;27.43;27.65
1400605;São Luiz;2003;27.68;27.65;26.48;26.93;27.53;27.33;27.28;27.18;28.23;28.92;28.73;28.49;27.94;26.98;27.26;27.38;27.7
1400605;São Luiz;2004;27.29;26.79;27.39;27.24;28.08;27.39;26.99;27.39;27.76;27.96;28.85;28.86;27.64;27.57;27.57;27.48;27.66
1400605;São Luiz;2005;28.86;28.52;27.07;27.92;28.32;28.02;26.87;28.42;27.67;28.17;28.57;28.63;28.67;27.77;28.08;27.73;28.08
1400605;São Luiz;2006;27.83;27.53;27.13;26.98;26.88;27.58;27.73;27.18;28.37;28.25;28.72;28.63;27.99;26.99;27.14;27.39;27.73
1400605;São Luiz;2007;27.52;27.97;27.84;27.38;27.64;27.14;27.48;27.86;28.36;28.21;28.71;28.74;28.07;27.62;27.38;27.42;27.9
1400605;São Luiz;2008;27.67;28.25;28.08;27.54;27.77;27.24;27.56;27.88;28.38;28.28;28.73;28.52;28.14;27.79;27.51;27.52;27.99
1400605;São Luiz;2009;27.37;27.69;27.6;27.22;27.52;27.05;27.4;27.85;28.35;28.15;28.7;28.97;28.01;27.44;27.26;27.32;27.82
1400605;São Luiz;2010;27.97;28.81;28.57;27.87;28.02;27.43;27.72;27.92;28.41;28.42;28.77;28.08;28.28;28.15;27.77;27.72;28.16
1400605;São Luiz;2011;26.78;26.58;26.63;26.58;27.03;27.23;27.28;27.58;28.23;28.23;28.43;28.67;27.34;26.74;26.94;27.18;27.43
1400605;São Luiz;2012;28.08;27.33;27.18;27.78;27.93;27.63;27.73;28.18;28.52;28.88;29.17;29.27;28.22;27.63;27.78;27.76;28.14
1400605;São Luiz;2013;28.68;28.43;27.98;27.78;27.97;27.79;27.95;28.52;28.91;29.43;29.04;28.97;28.69;27.91;27.84;27.9;28.45
1400605;São Luiz;2014;28.22;27.47;27.24;27.5;27.72;27.85;27.93;28.51;28.82;29.38;28.78;28.93;28.2;27.48;27.69;27.83;28.19
1400605;São Luiz;2015;28.48;28.13;27.08;27.43;27.78;27.73;27.98;28.54;29.01;29.49;29.31;29.01;28.54;27.43;27.64;27.83;28.33
1400605;São Luiz;2016;27.97;26.82;27.4;27.57;27.67;27.97;27.87;28.48;28.63;29.28;29.43;29.13;27.97;27.54;27.73;27.83;28.18
1400605;São Luiz;2017;28.1;27.05;27.1;27.9;28.15;28.2;28.1;28.6;29.4;29.7;29.2;28.9;28.01;27.71;28.08;28.15;28.36
1400605;São Luiz;2018;27.85;26.6;27.7;27.25;27.2;27.75;27.65;27.95;28.8;29.15;29.7;27.15;27.2;27.38;27.4;27.53;27.89
1400605;São Luiz;2019;27.85;26.95;27.1;27.7;28.25;28.25;28;28.65;29.1;29;29.25;29.5;28.1;27.68;28.06;28.16;28.3
1400605;São Luiz;2020;27.5;27.65;27.4;27.85;28.6;28.3;28.1;28.6;29.15;29.1;29;29.15;28.1;27.95;28.25;28.33;28.36
1400605;São Luiz;2021;28.05;27.7;26.85;27.95;28.05;27.6;27.8;28.15;28.5;28.75;28.75;29.05;28.26;27.61;27.86;27.81;28.1
1400605;São Luiz;2022;27.35;27.95;26.95;27.55;27.75;28.05;28.1;28.15;28.7;28.95;28.2;28.55;27.95;27.41;27.78;27.96;28.02
