id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
3550308;São Paulo;1950;22.04;22.34;22.14;20.34;19.34;17.84;16.34;19.04;19.44;18.94;19.84;21.84;22.07;20.6;17.74;19.4;19.95
3550308;São Paulo;1951;21.94;22.64;21.74;17.84;17.64;15.84;15.04;15.94;18.64;19.94;20.94;20.44;21.67;19.07;15.6;19.84;19.04
3550308;São Paulo;1952;22.54;22.49;23.24;20.04;16.14;17.14;16.84;17.49;18.84;20.64;21.14;21.94;22.32;19.8;17.15;20.2;19.87
3550308;São Paulo;1953;23.64;22.54;22.84;19.94;18.84;17.24;15.24;17.64;19.74;20.44;20.54;21.64;22.6;20.54;16.7;20.24;20.02
3550308;São Paulo;1954;24.14;23.54;22.84;20.24;18.44;18.14;17.44;18.44;20.04;20.04;20.94;21.74;23.14;20.5;18;20.34;20.49
3550308;São Paulo;1955;22.74;23.74;22.44;20.54;18.64;17.14;16.94;17.44;19.04;18.64;19.24;22.34;22.94;20.54;17.17;18.97;19.9
3550308;São Paulo;1956;25.64;23.24;22.14;20.14;17.04;15.34;15.94;15.84;20.04;19.34;19.14;21.24;23.37;19.77;15.7;19.5;19.59
3550308;São Paulo;1957;23.24;22.14;22.34;20.14;17.84;17.14;16.44;18.14;18.24;21.54;21.14;22.94;22.77;20.1;17.24;20.3;20.1
3550308;São Paulo;1958;23.84;24.34;22.04;19.74;18.14;17.54;17.84;20.04;18.84;20.44;22.84;23.64;23.94;19.97;18.47;20.7;20.77
3550308;São Paulo;1959;23.64;24.04;21.94;23.34;19.54;17.04;17.14;18.14;20.34;21.14;21.04;22.24;23.3;21.6;17.44;20.84;20.79
3550308;São Paulo;1960;22.24;22.24;22.14;20.14;16.84;16.94;17.14;18.94;19.54;21.84;21.04;22.44;22.3;19.7;17.67;20.8;20.12
