id;CITY;YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
3205309;Vitória;1961;26.01;27.21;27;26.27;23.31;22.5;21.82;23.06;25.02;24.84;25.33;25.47;26.23;25.52;24.02;22.54;24.82
3205309;Vitória;1962;26.31;26.74;26.75;25.39;23.39;21.11;21.05;22.43;22.39;23.07;24.46;24.87;25.97;25.17;23.29;21.85;23.99
3205309;Vitória;1963;27.51;26.65;26.61;25.48;23.23;21.9;21.67;21.79;23.7;24.74;25.61;24.71;26.29;25.1;23.53;22.26;24.46
3205309;Vitória;1964;25.21;27.56;26.88;25.31;23.88;21.95;20.17;21.77;22.34;23.16;23.42;25;25.92;25.36;23.71;22;23.88
3205309;Vitória;1965;25.59;27.12;26.34;25.42;24.03;23.01;22.4;23.58;24.13;23.71;24.74;27.48;26.73;25.26;24.15;23.14;24.79
3205309;Vitória;1966;27.32;28;27.43;25.21;23.74;23.42;21.9;21.9;22.15;24.31;24.59;27.02;27.44;25.46;24.12;23.02;24.74
3205309;Vitória;1967;27.43;27.57;27.36;25.53;23.86;23.73;22.23;22.8;22.9;24.78;24.9;24.48;26.49;25.58;24.37;23.27;24.79
3205309;Vitória;1968;26;27.6;27.12;25.42;24.48;23.12;21.6;22.21;23.09;23.29;23.54;25.86;26.48;25.67;24.34;23.07;24.44
3205309;Vitória;1969;27.66;28.22;27.05;25.64;24.2;22.46;22.03;22.69;23.51;23.38;23.35;24.26;26.71;25.63;24.1;22.89;24.53
3205309;Vitória;1970;25.83;26.98;27.19;25.2;24.77;23.79;21.18;21.73;22.68;23.2;23.73;26.98;26.59;25.72;24.58;23.24;24.43
3205309;Vitória;1971;27.86;28.58;27.64;26.09;24.32;22.72;22.16;22.53;22.66;22.46;22.98;26.05;27.49;26.01;24.37;23.06;24.67
3205309;Vitória;1972;27.81;27.15;27.88;24.68;23.56;24.06;22.15;23.06;22.93;24.17;25.38;25.92;26.96;25.37;24.1;23.25;24.89
3205309;Vitória;1973;28.21;28.33;26.32;26.95;24.13;24.5;23.27;22.82;22.52;22.55;23.02;26.1;27.54;25.8;25.19;23.96;24.89
3205309;Vitória;1974;26.83;26.82;26.25;25.2;23.96;22.31;22.09;22.81;23.43;23.83;24.78;25.31;26.32;25.13;23.82;22.78;24.46
3205309;Vitória;1975;26.11;28.06;26.57;24.51;22.8;21.89;21;23.27;22.72;24.17;25.12;26.23;26.8;24.62;23.06;21.89;24.37
3205309;Vitória;1976;27.59;27.27;27.19;25.99;23.81;23.61;22.02;23.04;22.82;23.12;24.64;25.78;26.88;25.66;24.47;23.14;24.74
3205309;Vitória;1977;26.88;27.2;28.5;25.93;23.8;23.52;23.45;23.53;22.9;24.38;25.03;25.34;26.47;26.07;24.41;23.59;25.03
3205309;Vitória;1978;26.43;26.3;26.69;24.86;23.74;22.02;22.67;22.66;22.65;23.98;24.83;25.48;26.07;25.09;23.54;22.81;24.35
3205309;Vitória;1979;24.4;25.68;25.28;24.78;24.96;23.16;22.05;22.81;22.09;23.64;25.67;25.72;25.26;25;24.3;23.39;24.18
3205309;Vitória;1980;26.02;26.73;26.44;25.58;25;23.33;22.17;22.7;22.06;23.66;25.81;25.72;26.15;25.67;24.64;23.5;24.6
3205309;Vitória;1981;27.17;26.75;26.35;25.03;24.93;22.99;22.25;22.92;22.13;23.63;25.53;25.71;26.54;25.43;24.31;23.39;24.61
3205309;Vitória;1982;26.68;26.72;26.53;24.88;25.08;23.68;22.09;22.49;21.99;23.69;26.09;25.74;26.38;25.49;24.54;23.61;24.63
3205309;Vitória;1983;25.98;26.78;26.18;25.18;24.78;23.68;23.28;21.88;22.28;23.58;24.98;25.68;26.14;25.38;24.54;23.91;24.52
3205309;Vitória;1984;27.38;27.48;26.88;24.58;25.38;23.78;22.98;21.98;22.58;23.98;24.58;25.8;26.88;25.61;24.58;24.04;24.78
3205309;Vitória;1985;27.46;28.07;27.54;26.94;24.32;22.85;23.08;22.47;23.1;24.7;25.2;25.86;27.13;26.27;24.7;23.42;25.13
3205309;Vitória;1986;27.47;28.07;27.61;27.01;24.18;22.94;22.79;22.37;22.94;24.34;25.03;25.75;27.09;26.27;24.71;23.3;25.04
3205309;Vitória;1987;27.44;28.07;27.46;26.86;24.47;22.77;23.37;22.57;23.27;25.07;25.37;25.97;27.16;26.26;24.7;23.53;25.22
3205309;Vitória;1988;27.51;28.07;27.76;27.16;23.9;23.11;22.21;22.18;22.61;23.62;24.7;25.54;27.04;26.27;24.72;23.07;24.86
3205309;Vitória;1989;27.37;28.07;27.17;26.57;23.27;22.37;21.67;21.97;23.07;23.07;24.47;24.76;26.73;25.67;24.07;22.43;24.48
